name,fmin,fmax,kmean,kvar,betagauge000,betagauge001,betagauge002,betagauge003,betagauge004,betagauge005,betagauge006,betagauge007,betagauge008,betagauge009,betagauge010,betagauge011,betagauge012,betagauge013,betagauge014,betagauge015,betagauge016,betagauge017,betagauge018,betagauge019,betagauge020,betagauge021,betagauge022,betagauge023,betagauge024,betagauge025,betagauge026,betagauge027,betagauge028,betagauge029,betagauge030,betagauge031,betagauge032,betagauge033,betagauge034,betagauge035,betagauge036,betagauge037,betagauge038,betagauge039,betagauge040,betagauge041,betagauge042,betagauge043,betagauge044,betagauge045,betagauge046,betagauge047,betagauge048,betagauge049,betagauge050,betagauge051,betagauge052,betagauge053,betagauge054,betagauge055,betagauge056,betagauge057,betagauge058,betagauge059,betagauge060,betagauge061,betagauge062,betagauge063,betagauge064,betagauge065,betagauge066,betagauge067,betagauge068,betagauge069,betagauge070,betagauge071,betagauge072,betagauge073,betagauge074,betagauge075,betagauge076,betagauge077,betagauge078,betagauge079,betagauge080,betagauge081,betagauge082,betagauge083,betagauge084,betagauge085,betagauge086,betagauge087,betagauge088,betagauge089,betagauge090,betagauge091,betagauge092,betagauge093,betagauge094,betagauge095,betagauge096,betagauge097,betagauge098,betagauge099
00000000,0.350605,0.999567,0.981791,0.00547189,0.0928682,0.0933894,0.0936988,0.0939212,0.0940959,0.0942404,0.094364,0.0944724,0.0945692,0.0946567,0.0947369,0.094811,0.09488,0.0949446,0.0950055,0.0950632,0.095118,0.0951704,0.0952205,0.0952687,0.0953152,0.0953601,0.0954035,0.0954456,0.0954866,0.0955265,0.0955655,0.0956035,0.0956408,0.0956773,0.0957131,0.0957483,0.0957829,0.095817,0.0958506,0.0958838,0.0959166,0.0959491,0.0959812,0.096013,0.0960446,0.0960759,0.0961071,0.096138,0.0961689,0.0961996,0.0962302,0.0962607,0.0962912,0.0963217,0.0963522,0.0963827,0.0964133,0.0964439,0.0964746,0.0965055,0.0965365,0.0965678,0.0965992,0.0966308,0.0966628,0.096695,0.0967275,0.0967605,0.0967938,0.0968276,0.0968619,0.0968967,0.096932,0.0969681,0.0970048,0.0970423,0.0970806,0.0971198,0.09716,0.0972013,0.0972438,0.0972877,0.0973329,0.0973798,0.0974285,0.0974792,0.0975322,0.0975877,0.097646,0.0977077,0.0977732,0.0978431,0.0979183,0.0979997,0.0980887,0.0981871,0.0982974,0.0984234,0.0985709,0.0987494,0.0989772,0.0992948,0.0998319,1
00000001,0,0.999264,0.975229,0.00647266,0.0897158,0.091087,0.0919071,0.0924995,0.0929663,0.0933535,0.0936856,0.0939773,0.094238,0.0944744,0.0946912,0.0948916,0.0950785,0.0952538,0.0954191,0.0955759,0.0957251,0.0958676,0.0960042,0.0961356,0.0962623,0.0963847,0.0965034,0.0966185,0.0967306,0.0968397,0.0969463,0.0970505,0.0971525,0.0972525,0.0973507,0.0974472,0.0975422,0.0976359,0.0977282,0.0978194,0.0979095,0.0979987,0.098087,0.0981746,0.0982615,0.0983477,0.0984335,0.0985188,0.0986037,0.0986883,0.0987727,0.0988569,0.098941,0.0990251,0.0991092,0.0991934,0.0992778,0.0993624,0.0994473,0.0995326,0.0996183,0.0997046,0.0997914,0.0998789,0.0999672,0.100056,0.100146,0.100237,0.10033,0.100423,0.100518,0.100614,0.100712,0.100812,0.100914,0.101018,0.101124,0.101233,0.101344,0.101458,0.101576,0.101698,0.101823,0.101953,0.102088,0.102229,0.102376,0.10253,0.102692,0.102863,0.103044,0.103238,0.103447,0.103673,0.103919,0.104192,0.104498,0.104848,0.105257,0.105752,0.106384,0.107264,0.108751,1
00000002,0,0.99991,0.984054,0.00346967,0.0892577,0.0909792,0.0920121,0.0927595,0.0933495,0.0938393,0.0942597,0.0946294,0.0949601,0.09526,0.0955352,0.0957898,0.0960273,0.0962502,0.0964605,0.0966599,0.0968498,0.0970312,0.0972053,0.0973726,0.0975341,0.0976901,0.0978414,0.0979882,0.0981311,0.0982704,0.0984064,0.0985393,0.0986696,0.0987973,0.0989227,0.0990459,0.0991673,0.0992869,0.0994049,0.0995215,0.0996367,0.0997507,0.0998636,0.0999756,0.100087,0.100197,0.100307,0.100416,0.100524,0.100633,0.100741,0.100849,0.100956,0.101064,0.101172,0.101279,0.101387,0.101496,0.101605,0.101714,0.101824,0.101934,0.102045,0.102157,0.102271,0.102385,0.1025,0.102617,0.102735,0.102855,0.102977,0.1031,0.103226,0.103354,0.103484,0.103617,0.103753,0.103893,0.104036,0.104182,0.104334,0.104489,0.10465,0.104817,0.10499,0.105171,0.105359,0.105557,0.105764,0.105984,0.106217,0.106466,0.106733,0.107023,0.10734,0.10769,0.108083,0.108531,0.109056,0.109691,0.110501,0.11163,0.113537,1
00000003,0.523678,0.999695,0.959476,0.0101378,0.0525432,0.0560016,0.0581499,0.0597392,0.0610139,0.062086,0.0630162,0.0638413,0.0645854,0.0652652,0.0658926,0.0664767,0.0670242,0.0675405,0.0680299,0.068496,0.0689415,0.0693688,0.06978,0.0701769,0.0705608,0.0709331,0.0712949,0.0716471,0.0719908,0.0723265,0.0726551,0.0729772,0.0732933,0.0736039,0.0739096,0.0742107,0.0745077,0.0748009,0.0750907,0.0753774,0.0756614,0.0759428,0.076222,0.0764993,0.0767749,0.0770489,0.0773218,0.0775936,0.0778646,0.078135,0.0784051,0.0786749,0.0789449,0.079215,0.0794856,0.0797569,0.080029,0.0803022,0.0805767,0.0808527,0.0811305,0.0814103,0.0816922,0.0819767,0.082264,0.0825542,0.0828479,0.0831451,0.0834464,0.0837521,0.0840624,0.084378,0.0846991,0.0850264,0.0853603,0.0857014,0.0860505,0.0864081,0.086775,0.0871523,0.0875407,0.0879416,0.0883561,0.0887857,0.089232,0.0896971,0.090183,0.0906927,0.0912291,0.0917961,0.0923984,0.0930418,0.0937336,0.0944831,0.0953026,0.0962089,0.0972252,0.0983857,0.0997433,0.101386,0.10348,0.106396,0.111311,1
00000004,4.47512e-005,0.998124,0.781194,0.0737364,0.0523331,0.055537,0.0575205,0.0589847,0.0601574,0.0611423,0.061996,0.0627526,0.0634345,0.0640569,0.0646311,0.0651653,0.0656658,0.0661376,0.0665846,0.06701,0.0674166,0.0678065,0.0681815,0.0685433,0.0688932,0.0692324,0.069562,0.0698828,0.0701957,0.0705013,0.0708003,0.0710933,0.0713809,0.0716634,0.0719413,0.0722151,0.072485,0.0727515,0.0730148,0.0732753,0.0735332,0.0737889,0.0740424,0.0742941,0.0745443,0.0747931,0.0750407,0.0752873,0.0755332,0.0757786,0.0760235,0.0762683,0.0765131,0.0767581,0.0770034,0.0772494,0.0774961,0.0777437,0.0779925,0.0782427,0.0784944,0.0787478,0.0790033,0.079261,0.0795212,0.0797842,0.0800501,0.0803193,0.0805922,0.0808689,0.08115,0.0814356,0.0817264,0.0820227,0.0823249,0.0826337,0.0829496,0.0832732,0.0836054,0.0839467,0.0842983,0.084661,0.0850361,0.0854247,0.0858286,0.0862493,0.086689,0.08715,0.0876353,0.0881483,0.0886931,0.0892752,0.0899009,0.0905789,0.0913203,0.0921402,0.0930596,0.0941095,0.0953378,0.0968245,0.0987195,0.101359,0.10581,1
00000005,1.35065e-005,0.99987,0.834102,0.0937753,0.093171,0.0936213,0.0938884,0.0940804,0.0942312,0.0943558,0.0944624,0.0945559,0.0946393,0.0947148,0.0947839,0.0948478,0.0949072,0.0949629,0.0950154,0.0950651,0.0951124,0.0951575,0.0952007,0.0952422,0.0952823,0.0953209,0.0953583,0.0953946,0.0954299,0.0954643,0.0954978,0.0955306,0.0955627,0.0955941,0.0956249,0.0956552,0.095685,0.0957144,0.0957433,0.0957719,0.0958002,0.0958281,0.0958557,0.0958831,0.0959103,0.0959373,0.0959641,0.0959908,0.0960173,0.0960437,0.0960701,0.0960964,0.0961226,0.0961488,0.0961751,0.0962013,0.0962276,0.096254,0.0962805,0.096307,0.0963337,0.0963606,0.0963876,0.0964149,0.0964423,0.0964701,0.0964981,0.0965264,0.0965551,0.0965842,0.0966137,0.0966436,0.0966741,0.0967051,0.0967366,0.0967689,0.0968019,0.0968356,0.0968702,0.0969057,0.0969423,0.09698,0.097019,0.0970593,0.0971012,0.0971448,0.0971904,0.0972381,0.0972883,0.0973414,0.0973977,0.0974579,0.0975225,0.0975925,0.0976691,0.0977537,0.0978486,0.097957,0.0980839,0.0982375,0.0984334,0.0987067,0.0991688,1
00000006,0.00193167,0.999874,0.967047,0.00800712,0.0202324,0.0242375,0.0269617,0.0290962,0.0308826,0.0324364,0.0338227,0.0350821,0.0362418,0.0373211,0.0383339,0.0392911,0.0402008,0.0410697,0.0419032,0.0427056,0.0434806,0.0442313,0.0449603,0.0456699,0.0463621,0.0470386,0.0477009,0.0483504,0.0489883,0.0496157,0.0502336,0.0508428,0.0514443,0.0520387,0.0526268,0.0532092,0.0537865,0.0543592,0.0549281,0.0554934,0.0560558,0.0566156,0.0571734,0.0577296,0.0582845,0.0588386,0.0593923,0.059946,0.0605001,0.0610549,0.0616108,0.0621683,0.0627276,0.0632893,0.0638537,0.0644211,0.0649921,0.0655671,0.0661464,0.0667305,0.06732,0.0679153,0.0685169,0.0691254,0.0697413,0.0703654,0.0709981,0.0716402,0.0722925,0.0729557,0.0736308,0.0743185,0.07502,0.0757363,0.0764687,0.0772184,0.0779869,0.0787758,0.0795869,0.0804222,0.0812839,0.0821746,0.0830972,0.0840549,0.0850515,0.0860914,0.0871798,0.0883227,0.0895273,0.0908023,0.0921583,0.0936084,0.0951691,0.0968617,0.098714,0.100764,0.103064,0.105691,0.108764,0.112482,0.117216,0.123797,0.134848,1
00000007,0,0.997242,0.849803,0.0390271,0.0896452,0.0914142,0.092476,0.0932445,0.0938511,0.0943549,0.0947874,0.0951676,0.0955078,0.0958164,0.0960995,0.0963615,0.0966058,0.0968352,0.0970516,0.0972568,0.0974522,0.097639,0.0978181,0.0979904,0.0981565,0.0983172,0.0984729,0.098624,0.0987711,0.0989145,0.0990545,0.0991914,0.0993254,0.0994569,0.099586,0.0997129,0.0998379,0.099961,0.100083,0.100202,0.100321,0.100439,0.100555,0.10067,0.100784,0.100898,0.101011,0.101123,0.101235,0.101347,0.101458,0.101569,0.10168,0.101791,0.101902,0.102013,0.102124,0.102236,0.102348,0.10246,0.102573,0.102687,0.102802,0.102917,0.103034,0.103151,0.10327,0.10339,0.103512,0.103635,0.103761,0.103888,0.104017,0.104149,0.104283,0.104421,0.104561,0.104704,0.104851,0.105003,0.105158,0.105319,0.105485,0.105657,0.105835,0.106021,0.106215,0.106418,0.106632,0.106858,0.107098,0.107355,0.10763,0.107929,0.108255,0.108616,0.10902,0.109482,0.110022,0.110677,0.111511,0.112673,0.114637,1
00000008,0.000468158,0.987783,0.652001,0.0890834,0.0525432,0.0560016,0.0581499,0.0597392,0.0610139,0.062086,0.0630162,0.0638413,0.0645854,0.0652652,0.0658926,0.0664767,0.0670242,0.0675405,0.0680299,0.068496,0.0689415,0.0693688,0.06978,0.0701769,0.0705608,0.0709331,0.0712949,0.0716471,0.0719908,0.0723265,0.0726551,0.0729772,0.0732933,0.0736039,0.0739096,0.0742107,0.0745077,0.0748009,0.0750907,0.0753774,0.0756614,0.0759428,0.076222,0.0764993,0.0767749,0.0770489,0.0773218,0.0775936,0.0778646,0.078135,0.0784051,0.0786749,0.0789449,0.079215,0.0794856,0.0797569,0.080029,0.0803022,0.0805767,0.0808527,0.0811305,0.0814103,0.0816922,0.0819767,0.082264,0.0825542,0.0828479,0.0831451,0.0834464,0.0837521,0.0840624,0.084378,0.0846991,0.0850264,0.0853603,0.0857014,0.0860505,0.0864081,0.086775,0.0871523,0.0875407,0.0879416,0.0883561,0.0887857,0.089232,0.0896971,0.090183,0.0906927,0.0912291,0.0917961,0.0923984,0.0930418,0.0937336,0.0944831,0.0953026,0.0962089,0.0972252,0.0983857,0.0997433,0.101386,0.10348,0.106396,0.111311,1
00000009,0.0134951,0.992868,0.78543,0.0590319,0.0192262,0.0230741,0.0256951,0.0277506,0.029472,0.03097,0.0323072,0.0335224,0.0346419,0.035684,0.0366622,0.0375868,0.0384658,0.0393056,0.0401113,0.0408871,0.0416365,0.0423625,0.0430676,0.0437541,0.0444238,0.0450785,0.0457195,0.0463481,0.0469656,0.047573,0.0481713,0.0487612,0.0493437,0.0499194,0.050489,0.0510532,0.0516125,0.0521674,0.0527186,0.0532664,0.0538114,0.0543541,0.0548947,0.0554338,0.0559718,0.056509,0.0570459,0.0575827,0.05812,0.058658,0.0591972,0.0597378,0.0602804,0.0608252,0.0613727,0.0619232,0.0624772,0.063035,0.0635971,0.064164,0.064736,0.0653138,0.0658976,0.0664883,0.0670861,0.0676919,0.0683061,0.0689295,0.0695628,0.0702067,0.0708622,0.07153,0.0722112,0.0729069,0.0736182,0.0743463,0.0750928,0.0758591,0.076647,0.0774585,0.0782957,0.0791611,0.0800575,0.0809881,0.0819565,0.0829672,0.084025,0.0851358,0.0863067,0.0875461,0.0888643,0.0902741,0.0917916,0.0934374,0.0952387,0.0972322,0.0994691,0.102024,0.105014,0.108632,0.11324,0.119645,0.130406,1
00000010,4.9695e-006,0.999795,0.843774,0.0528329,0.133917,0.133917,0.133917,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133918,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.133919,0.13392,1
00000011,1.98e-007,0.999619,0.973085,0.00654786,0.0896329,0.0910157,0.0918429,0.0924404,0.0929113,0.0933019,0.0936369,0.0939311,0.0941942,0.0944327,0.0946513,0.0948536,0.0950421,0.095219,0.0953858,0.0955439,0.0956945,0.0958383,0.0959761,0.0961087,0.0962365,0.0963601,0.0964798,0.096596,0.096709,0.0968192,0.0969267,0.0970318,0.0971348,0.0972357,0.0973348,0.0974322,0.0975281,0.0976225,0.0977157,0.0978077,0.0978987,0.0979887,0.0980778,0.0981662,0.0982539,0.0983409,0.0984275,0.0985135,0.0985992,0.0986846,0.0987698,0.0988548,0.0989396,0.0990245,0.0991094,0.0991944,0.0992795,0.0993649,0.0994506,0.0995367,0.0996232,0.0997102,0.0997979,0.0998862,0.0999753,0.100065,0.100156,0.100248,0.100341,0.100435,0.100531,0.100628,0.100727,0.100828,0.100931,0.101035,0.101143,0.101252,0.101365,0.10148,0.101599,0.101722,0.101848,0.10198,0.102116,0.102258,0.102406,0.102561,0.102725,0.102897,0.103081,0.103277,0.103487,0.103715,0.103964,0.10424,0.104548,0.104901,0.105314,0.105814,0.106451,0.107339,0.108841,1
00000012,0.20505,0.999908,0.969242,0.00905385,0.0852132,0.0883766,0.0903004,0.0917045,0.0928196,0.0937501,0.0945522,0.0952597,0.0958947,0.0964723,0.0970034,0.0974959,0.0979562,0.098389,0.0987981,0.0991866,0.0995571,0.0999118,0.100252,0.10058,0.100897,0.101203,0.101501,0.10179,0.102071,0.102346,0.102614,0.102877,0.103134,0.103387,0.103635,0.103879,0.10412,0.104357,0.104592,0.104823,0.105052,0.105279,0.105504,0.105727,0.105948,0.106168,0.106387,0.106605,0.106822,0.107038,0.107254,0.10747,0.107685,0.107901,0.108116,0.108333,0.108549,0.108766,0.108984,0.109204,0.109424,0.109646,0.109869,0.110095,0.110322,0.110552,0.110784,0.111019,0.111257,0.111498,0.111743,0.111992,0.112245,0.112503,0.112766,0.113034,0.113309,0.11359,0.113878,0.114174,0.114479,0.114794,0.115119,0.115456,0.115806,0.11617,0.116551,0.11695,0.117369,0.117813,0.118284,0.118787,0.119328,0.119913,0.120553,0.121261,0.122054,0.12296,0.12402,0.125302,0.126936,0.129211,0.13305,1
00000013,0.0118616,0.999825,0.996261,0.00137903,0.0525432,0.0560016,0.0581499,0.0597392,0.0610139,0.062086,0.0630162,0.0638413,0.0645854,0.0652652,0.0658926,0.0664767,0.0670242,0.0675405,0.0680299,0.068496,0.0689415,0.0693688,0.06978,0.0701769,0.0705608,0.0709331,0.0712949,0.0716471,0.0719908,0.0723265,0.0726551,0.0729772,0.0732933,0.0736039,0.0739096,0.0742107,0.0745077,0.0748009,0.0750907,0.0753774,0.0756614,0.0759428,0.076222,0.0764993,0.0767749,0.0770489,0.0773218,0.0775936,0.0778646,0.078135,0.0784051,0.0786749,0.0789449,0.079215,0.0794856,0.0797569,0.080029,0.0803022,0.0805767,0.0808527,0.0811305,0.0814103,0.0816922,0.0819767,0.082264,0.0825542,0.0828479,0.0831451,0.0834464,0.0837521,0.0840624,0.084378,0.0846991,0.0850264,0.0853603,0.0857014,0.0860505,0.0864081,0.086775,0.0871523,0.0875407,0.0879416,0.0883561,0.0887857,0.089232,0.0896971,0.090183,0.0906927,0.0912291,0.0917961,0.0923984,0.0930418,0.0937336,0.0944831,0.0953026,0.0962089,0.0972252,0.0983857,0.0997433,0.101386,0.10348,0.106396,0.111311,1
00000014,0.0392163,0.999536,0.979315,0.00525361,0.0897908,0.0919407,0.0932351,0.0941739,0.0949161,0.0955332,0.0960634,0.09653,0.0969477,0.097327,0.097675,0.0979973,0.0982981,0.0985804,0.098847,0.0990999,0.0993408,0.0995711,0.099792,0.100005,0.10021,0.100408,0.1006,0.100787,0.100969,0.101146,0.101319,0.101488,0.101654,0.101816,0.101976,0.102133,0.102288,0.10244,0.102591,0.102739,0.102886,0.103031,0.103175,0.103318,0.10346,0.103601,0.103741,0.10388,0.104019,0.104157,0.104295,0.104432,0.10457,0.104707,0.104845,0.104983,0.105121,0.105259,0.105398,0.105538,0.105678,0.105819,0.105962,0.106105,0.10625,0.106396,0.106543,0.106692,0.106844,0.106997,0.107153,0.107311,0.107471,0.107635,0.107802,0.107972,0.108146,0.108325,0.108508,0.108695,0.108889,0.109088,0.109294,0.109508,0.10973,0.10996,0.110202,0.110454,0.11072,0.111001,0.1113,0.111618,0.111961,0.112332,0.112737,0.113186,0.113689,0.114263,0.114934,0.115747,0.116783,0.118228,0.120666,1
00000015,0.701804,0.998073,0.975134,0.00362624,0.0523331,0.055537,0.0575205,0.0589847,0.0601574,0.0611423,0.061996,0.0627526,0.0634345,0.0640569,0.0646311,0.0651653,0.0656658,0.0661376,0.0665846,0.06701,0.0674166,0.0678065,0.0681815,0.0685433,0.0688932,0.0692324,0.069562,0.0698828,0.0701957,0.0705013,0.0708003,0.0710933,0.0713809,0.0716634,0.0719413,0.0722151,0.072485,0.0727515,0.0730148,0.0732753,0.0735332,0.0737889,0.0740424,0.0742941,0.0745443,0.0747931,0.0750407,0.0752873,0.0755332,0.0757786,0.0760235,0.0762683,0.0765131,0.0767581,0.0770034,0.0772494,0.0774961,0.0777437,0.0779925,0.0782427,0.0784944,0.0787478,0.0790033,0.079261,0.0795212,0.0797842,0.0800501,0.0803193,0.0805922,0.0808689,0.08115,0.0814356,0.0817264,0.0820227,0.0823249,0.0826337,0.0829496,0.0832732,0.0836054,0.0839467,0.0842983,0.084661,0.0850361,0.0854247,0.0858286,0.0862493,0.086689,0.08715,0.0876353,0.0881483,0.0886931,0.0892752,0.0899009,0.0905789,0.0913203,0.0921402,0.0930596,0.0941095,0.0953378,0.0968245,0.0987195,0.101359,0.10581,1
