fold,cls,tt,clst,cand,no_ctrd,sigma,weight,beta_a ,beta_b,beta_a_bias,beta_b_bias,beta_a_var,beta_b_var,p_val_tr,y_min,y_max
0,0,0,0,0,1,0.093890,451449.058155,0.019688,111.133615,0.019389,110.544204,0.000378,12229.376085,0.000000,0.000000,51.884513
0,0,0,0,1,1,0.187780,881.736442,0.053595,4.593124,0.021222,2.175088,0.000982,10.146146,0.000000,0.000000,91.294800
0,0,0,0,2,1,0.375561,1.722141,0.667639,3.632009,0.013431,0.097421,0.008784,0.376405,0.000000,0.000500,0.976890
0,0,0,0,3,1,0.751122,0.003364,2.787100,2.909582,0.021622,0.022414,0.082856,0.088542,0.642778,0.000439,0.002919
0,0,0,0,4,1,1.502243,0.000007,3.955180,2.338550,0.047295,0.023642,0.238804,0.066433,0.384930,0.000004,0.000006
0,0,0,1,0,2,0.095099,201178.658985,0.001476,0.134823,0.000025,0.039397,0.000001,0.009203,0.000000,0.000000,204.329641
0,0,0,1,1,2,0.190198,392.927068,0.040969,1.143158,0.003298,0.163267,0.000143,0.212138,0.000000,0.000000,70.149195
0,0,0,1,2,2,0.380396,0.767436,0.735896,2.406935,0.010208,0.048195,0.008659,0.144583,0.006033,0.003108,0.541571
0,0,0,1,3,2,0.760791,0.001499,2.771825,2.815048,0.023034,0.022726,0.087954,0.086380,0.683519,0.000440,0.002255
0,0,0,1,4,2,1.521582,0.000003,4.112358,2.346243,0.056698,0.027062,0.292821,0.073726,0.133369,0.000003,0.000005
0,0,0,2,0,3,0.090212,215629.019335,0.005648,0.552764,0.000367,0.114134,0.000004,0.063244,0.000000,0.000000,51.412317
0,0,0,2,1,3,0.180423,421.150428,0.102466,1.710581,0.005192,0.137988,0.000532,0.253898,0.000000,0.000000,52.530042
0,0,0,2,2,3,0.360846,0.822559,0.905530,2.375995,0.009201,0.033395,0.011004,0.106007,0.355501,0.003756,0.657444
0,0,0,2,3,3,0.721693,0.001607,2.679208,2.705593,0.021707,0.021836,0.080744,0.081458,0.975045,0.000723,0.003294
0,0,0,2,4,3,1.443386,0.000003,3.715951,2.320892,0.041203,0.021922,0.199050,0.062848,0.672018,0.000005,0.000009
0,0,0,3,0,4,0.092064,134683.832593,0.006161,0.941075,0.001050,0.282651,0.000010,0.315085,0.000000,0.000000,241.013824
0,0,0,3,1,4,0.184128,263.054361,0.151865,2.623399,0.011761,0.282310,0.001532,0.747251,0.000000,0.000000,54.108117
0,0,0,3,2,4,0.368257,0.513778,1.019515,2.050976,0.007158,0.018845,0.011916,0.059170,0.914388,0.002917,0.408566
0,0,0,3,3,4,0.736513,0.001003,2.658313,2.511112,0.022384,0.020314,0.083708,0.070805,0.861648,0.000550,0.002479
0,0,0,3,4,4,1.473027,0.000002,3.595524,2.166033,0.041940,0.021168,0.196651,0.056490,0.394663,0.000004,0.000007
0,0,0,4,0,5,0.102117,42396.715842,0.023537,1.243111,0.003536,0.303553,0.000088,0.426075,0.000000,0.000000,7.922017
0,0,0,4,1,5,0.204234,82.806086,0.191385,1.631981,0.003645,0.053081,0.000878,0.100439,0.000000,0.000000,9.681666
0,0,0,4,2,5,0.408469,0.161731,1.278140,2.146386,0.008745,0.017814,0.018044,0.059046,0.507113,0.002778,0.134384
0,0,0,4,3,5,0.816937,0.000316,2.272982,2.462080,0.017996,0.019205,0.059775,0.067727,0.751232,0.000283,0.000938
