centroid count,centroid no.,datasize,rr[0],rr[1],rr[2],rr[3],rr[4],rr[5],rr[6],rr[7],rr[8],r[0],r[1],r[2],r[3],r[4],r[5],r[6],r[7],r[8]
1,0,400,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.234704,0.043608,0.057219,0.042497,0.122212,0.039720,0.121102,0.033888,0.006666
1,0,400,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.234704,0.043608,0.057219,0.042497,0.122212,0.039720,0.121102,0.033888,0.006666
2,0,383,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.222784,0.027267,0.041192,0.029589,0.109360,0.017115,0.110232,0.016825,0.005222
2,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
2,0,383,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.222784,0.027267,0.041192,0.029589,0.109360,0.017115,0.110232,0.016825,0.005222
2,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
3,0,150,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.413301,0.035552,0.061477,0.044441,0.114063,0.008147,0.109620,0.022221,0.002222
3,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
3,2,233,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.100133,0.021934,0.028133,0.020027,0.106333,0.022888,0.110626,0.013351,0.007153
3,0,150,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.413301,0.035552,0.061477,0.044441,0.114063,0.008147,0.109620,0.022221,0.002222
3,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
3,2,233,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.100133,0.021934,0.028133,0.020027,0.106333,0.022888,0.110626,0.013351,0.007153
4,0,135,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.413959,0.029627,0.051848,0.048556,0.111923,0.006584,0.089703,0.009053,0.002469
4,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
4,2,199,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.085977,0.009491,0.019540,0.013957,0.107193,0.018424,0.079836,0.007258,0.008375
4,3,49,0.049305,0.054568,0.137028,-0.062041,0.128423,0.135524,0.157047,0.063087,-0.010466,0.251680,0.092961,0.099763,0.040812,0.111100,0.040812,0.290237,0.077094,0.000000
4,0,135,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.413959,0.029627,0.051848,0.048556,0.111923,0.006584,0.089703,0.009053,0.002469
4,1,17,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.503271,0.411753,0.418294,0.333306,0.411753,0.549012,0.366000,0.418300,0.039212
4,2,199,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.085977,0.009491,0.019540,0.013957,0.107193,0.018424,0.079836,0.007258,0.008375
4,3,49,0.049305,0.054568,0.137028,-0.062041,0.128423,0.135524,0.157047,0.063087,-0.010466,0.251680,0.092961,0.099763,0.040812,0.111100,0.040812,0.290237,0.077094,0.000000
5,0,127,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.405916,0.020120,0.032368,0.048991,0.111100,0.005249,0.090105,0.006998,0.002624
5,1,23,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.454078,0.125591,0.251196,0.048304,0.169070,0.014491,0.202883,0.149757,0.000000
5,2,197,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.085722,0.009587,0.018611,0.014099,0.107153,0.018611,0.078390,0.007331,0.008460
5,3,38,0.049305,0.054568,0.137028,-0.062041,0.128423,0.135524,0.157047,0.063087,-0.010466,0.195889,0.090634,0.073092,0.043855,0.099405,0.049703,0.301158,0.043855,0.000000
5,4,15,0.049339,0.130005,0.026640,0.095202,0.195055,0.169346,0.182289,0.042702,0.041694,0.503707,0.444433,0.437027,0.348120,0.399987,0.622213,0.362953,0.407407,0.044440
5,0,127,0.049192,0.058232,-0.017214,0.108604,0.140205,0.034039,0.081312,0.124251,0.040083,0.405916,0.020120,0.032368,0.048991,0.111100,0.005249,0.090105,0.006998,0.002624
5,1,23,0.049237,0.133676,0.115097,0.051720,0.206838,0.067861,0.106554,0.103865,-0.011271,0.454078,0.125591,0.251196,0.048304,0.169070,0.014491,0.202883,0.149757,0.000000
5,2,197,0.049271,-0.020876,0.004709,-0.005157,0.061797,0.101693,0.131797,0.083473,0.040888,0.085722,0.009587,0.018611,0.014099,0.107153,0.018611,0.078390,0.007331,0.008460
5,3,38,0.049305,0.054568,0.137028,-0.062041,0.128423,0.135524,0.157047,0.063087,-0.010466,0.195889,0.090634,0.073092,0.043855,0.099405,0.049703,0.301158,0.043855,0.000000
5,4,15,0.049339,0.130005,0.026640,0.095202,0.195055,0.169346,0.182289,0.042702,0.041694,0.503707,0.444433,0.437027,0.348120,0.399987,0.622213,0.362953,0.407407,0.044440
