<TRAINING LOG>
date : 20150419
Unique ID : 20150419111139
fold	cls	tt	clst	cand	no_ctrd	sigma	weight	beta_a 	beta_b	beta_a_bias	beta_b_bias	beta_a_var	beta_b_var	p_val_tr	y_min	y_max	var_max
0	0	0	0	0	1	0.093890	451449.058155	0.019688	111.133615	0.019389	110.544204	0.000378	12229.376085	0.000000	0.000000	51.884513	0.141046
0	0	0	0	1	1	0.187780	881.736442	0.053595	4.593124	0.021222	2.175088	0.000982	10.146146	0.000000	0.000000	91.294800	0.141046
0	0	0	0	2	1	0.375561	1.722141	0.667639	3.632009	0.013431	0.097421	0.008784	0.376405	0.000000	0.000500	0.976890	0.141046
0	0	0	0	3	1	0.751122	0.003364	2.787100	2.909582	0.021622	0.022414	0.082856	0.088542	0.642778	0.000439	0.002919	0.141046
0	0	0	0	4	1	1.502243	0.000007	3.955180	2.338550	0.047295	0.023642	0.238804	0.066433	0.384930	0.000004	0.000006	0.141046
0	0	0	1	0	2	0.094870	205588.298559	0.001745	0.155445	0.000052	0.045216	0.000001	0.011805	0.000000	0.000000	218.874517	0.144005
0	0	0	1	1	2	0.189740	401.539646	0.041719	1.127270	0.003141	0.152049	0.000142	0.195330	0.000000	0.000000	72.535500	0.144005
0	0	0	1	2	2	0.379480	0.784257	0.742017	2.383553	0.010123	0.047012	0.008722	0.140443	0.014491	0.003020	0.554883	0.144005
0	0	0	1	3	2	0.758960	0.001532	2.819343	2.812580	0.023895	0.023000	0.092442	0.086896	0.710920	0.000444	0.002306	0.144005
0	0	0	1	4	2	1.517921	0.000003	4.137818	2.341032	0.057947	0.027391	0.300496	0.074167	0.089155	0.000003	0.000006	0.144005
0	0	0	2	0	3	0.091335	192900.267616	0.025546	4.524073	0.014259	3.014963	0.000309	13.777153	0.000000	0.000000	42.460349	0.133473
0	0	0	2	1	3	0.182670	376.758335	0.130804	2.046134	0.004174	0.101080	0.000623	0.215856	0.000000	0.000000	45.897957	0.133473
0	0	0	2	2	3	0.365340	0.735856	0.838229	2.199649	0.007272	0.026926	0.008748	0.082269	0.638659	0.002061	0.560384	0.133473
0	0	0	2	3	3	0.730680	0.001437	2.555865	2.558293	0.019979	0.020451	0.071908	0.074096	0.830895	0.000598	0.002865	0.133473
0	0	0	2	4	3	1.461361	0.000003	3.433067	2.165898	0.034518	0.018839	0.158033	0.052879	0.291879	0.000005	0.000008	0.133473
0	0	0	3	0	4	0.093655	115444.189209	0.012365	0.654123	0.001365	0.158357	0.000023	0.126564	0.000000	0.000000	48.966060	0.140339
0	0	0	3	1	4	0.187309	225.476932	0.120714	1.317917	0.002764	0.054477	0.000462	0.086035	0.000000	0.000000	32.358429	0.140339
0	0	0	3	2	4	0.374618	0.440385	1.139950	2.370495	0.006674	0.018177	0.012246	0.063855	0.797279	0.001934	0.364831	0.140339
0	0	0	3	3	4	0.749236	0.000860	3.033932	2.808371	0.027971	0.024266	0.114615	0.089466	0.659472	0.000433	0.002176	0.140339
0	0	0	3	4	4	1.498472	0.000002	3.986256	2.283980	0.052603	0.025310	0.265654	0.068308	0.428278	0.000004	0.000006	0.140339
0	0	0	4	0	5	0.098110	60783.154021	0.026717	7.169124	0.019579	5.913827	0.000461	42.429024	0.000000	0.000000	884.717524	0.154011
0	0	0	4	1	5	0.196221	118.717098	0.238974	3.416447	0.012135	0.227430	0.002732	0.788349	0.000000	0.000000	43.819648	0.154011
0	0	0	4	2	5	0.392442	0.231869	1.370531	3.342279	0.013143	0.037827	0.023479	0.160077	0.801822	0.001948	0.322667	0.154011
0	0	0	4	3	5	0.784884	0.000453	3.122687	2.683790	0.030042	0.023729	0.126285	0.083093	0.731151	0.000326	0.001489	0.154011
0	0	0	4	4	5	1.569767	0.000001	4.069015	2.142975	0.059529	0.025994	0.303418	0.064431	0.454234	0.000003	0.000004	0.154011
0	1	0	0	0	1	0.046494	252103257.100400	0.016342	0.228978	-0.000120	0.002757	0.000004	0.001317	0.000000	0.000000	26367015.264864	0.034588
0	1	0	0	1	1	0.092989	492389.174024	0.191772	0.891636	0.000954	0.009861	0.000425	0.014650	0.000000	0.000000	280013.599387	0.034588
0	1	0	0	2	1	0.185978	961.697606	1.079198	1.155812	0.003440	0.003724	0.008198	0.009310	0.010222	0.000000	835.134052	0.034588
0	1	0	0	3	1	0.371956	1.878316	1.804776	0.539212	0.029284	0.005349	0.069296	0.003115	0.000000	0.001138	1.813210	0.034588
0	1	0	0	4	1	0.743912	0.003669	1.793334	0.206298	0.067506	0.004567	0.138097	0.000767	0.000000	0.000576	0.003636	0.034588
0	1	0	1	0	2	0.047367	106636720.703927	0.044264	2.161589	0.007368	0.511610	0.000261	1.151967	0.000000	0.000000	67184035.559178	0.035898
0	1	0	1	1	2	0.094733	208274.845125	0.685167	2.751871	0.003852	0.019676	0.003863	0.069810	0.000035	0.000000	185815.578116	0.035898
0	1	0	1	2	2	0.189467	406.786807	1.364324	0.893718	0.008749	0.003517	0.020847	0.005475	0.000131	0.000000	476.868618	0.035898
0	1	0	1	3	2	0.378933	0.794505	1.758027	0.466070	0.031872	0.005038	0.072008	0.002412	0.000000	0.001858	1.379469	0.035898
0	1	0	1	4	2	0.757866	0.001552	1.787269	0.200178	0.068385	0.004488	0.138980	0.000726	0.000000	0.000535	0.002995	0.035898
0	1	0	2	0	3	0.080073	630541.276343	0.373107	1.280640	0.002380	0.013803	0.001475	0.026958	0.000000	0.000000	474674.572413	0.102586
0	1	0	2	1	3	0.160145	1231.525930	1.008186	0.832043	0.003620	0.001578	0.008608	0.003729	0.000041	0.000004	1423.948994	0.102586
0	1	0	2	2	3	0.320290	2.405324	1.777978	0.624118	0.018991	0.003889	0.046442	0.002926	0.000000	0.031240	4.183153	0.102586
0	1	0	2	3	3	0.640581	0.004698	2.296944	0.408052	0.072595	0.008414	0.193613	0.002951	0.000000	0.003337	0.010386	0.102586
0	1	0	2	4	3	1.281162	0.000009	3.704715	0.578818	0.177465	0.020616	0.732435	0.010236	0.000000	0.000017	0.000025	0.102586
0	1	0	3	0	4	0.074194	939369.076971	0.364110	1.422190	0.002358	0.015495	0.001331	0.031570	0.000000	0.000000	768439.692093	0.088075
0	1	0	3	1	4	0.148387	1834.705228	1.106515	0.978007	0.004533	0.002650	0.010731	0.005891	0.000000	0.000000	2459.270932	0.088075
0	1	0	3	2	4	0.296774	3.583409	1.783138	0.673488	0.020313	0.004676	0.050301	0.003829	0.000000	0.023131	8.399677	0.088075
0	1	0	3	3	4	0.593548	0.006999	2.152223	0.387636	0.062331	0.007174	0.157394	0.002443	0.000000	0.004861	0.021262	0.088075
0	1	0	3	4	4	1.187097	0.000014	3.054535	0.418193	0.139846	0.013511	0.475945	0.004692	0.000000	0.000031	0.000050	0.088075
0	1	0	4	0	5	0.074194	751495.261577	0.307174	0.779064	0.000655	0.004370	0.000797	0.007762	0.000000	0.000000	557651.352265	0.088075
0	1	0	4	1	5	0.148387	1467.764183	1.051823	0.954758	0.003876	0.002308	0.009237	0.005421	0.000200	0.000000	2296.585198	0.088075
0	1	0	4	2	5	0.296774	2.866727	1.797083	0.664701	0.019849	0.004547	0.049659	0.003768	0.000000	0.020565	7.946638	0.088075
0	1	0	4	3	5	0.593548	0.005599	2.440543	0.469676	0.075623	0.009763	0.215083	0.004032	0.000000	0.004411	0.021702	0.088075
0	1	0	4	4	5	1.187097	0.000011	3.238897	0.446935	0.156149	0.015428	0.561926	0.005728	0.000000	0.000030	0.000051	0.088075
1	0	0	0	0	1	0.095263	396169.689565	0.009684	14.431876	0.008862	14.100228	0.000080	202.724971	0.000000	0.000000	67.686906	0.145200
1	0	0	0	1	1	0.190526	773.768925	0.044581	2.951180	0.010302	0.896016	0.000394	2.698480	0.000000	0.000000	88.464115	0.145200
1	0	0	0	2	1	0.381051	1.511267	0.650095	3.335361	0.012999	0.090787	0.008276	0.327174	0.000000	0.002241	0.878780	0.145200
1	0	0	0	3	1	0.762102	0.002952	2.207425	2.626937	0.017747	0.021020	0.056809	0.077727	0.508766	0.000579	0.002578	0.145200
1	0	0	0	4	1	1.524205	0.000006	2.767263	2.104359	0.031172	0.019680	0.120370	0.054113	0.291862	0.000004	0.000006	0.145200
1	0	0	1	0	2	0.093417	236222.557058	0.001759	0.155922	0.000057	0.044811	0.000001	0.012103	0.000000	0.000000	257.823441	0.139628
1	0	0	1	1	2	0.186834	461.372182	0.041658	1.124527	0.003138	0.151818	0.000142	0.194636	0.000000	0.000000	83.865135	0.139628
1	0	0	1	2	2	0.373669	0.901118	0.701695	2.329731	0.009571	0.046472	0.007809	0.135594	0.000088	0.003240	0.641922	0.139628
1	0	0	1	3	2	0.747337	0.001760	2.392739	2.670459	0.019376	0.021270	0.066139	0.078959	0.819419	0.000597	0.002648	0.139628
1	0	0	1	4	2	1.494674	0.000003	2.940057	2.149520	0.036798	0.022073	0.147520	0.059713	0.163090	0.000004	0.000006	0.139628
1	0	0	2	0	3	0.092521	171758.129886	0.009453	0.735047	0.001287	0.210439	0.000016	0.179299	0.000000	0.000000	86.026270	0.136961
1	0	0	2	1	3	0.185042	335.465097	0.101928	1.465783	0.003466	0.084870	0.000420	0.139718	0.000000	0.000000	50.185228	0.136961
1	0	0	2	2	3	0.370083	0.655205	0.829047	1.945163	0.006810	0.023421	0.008458	0.066455	0.495011	0.002845	0.497281	0.136961
1	0	0	2	3	3	0.740166	0.001280	2.396993	2.590887	0.019202	0.021069	0.065355	0.076920	0.902919	0.000638	0.002615	0.136961
1	0	0	2	4	3	1.480332	0.000002	2.640141	2.058358	0.027053	0.017890	0.101653	0.049932	0.571140	0.000005	0.000007	0.136961
1	0	0	3	0	4	0.092820	125125.392409	0.005611	0.400113	0.000516	0.117557	0.000005	0.058413	0.000000	0.000000	56.143705	0.137850
1	0	0	3	1	4	0.185641	244.385532	0.124343	1.643458	0.005143	0.109093	0.000680	0.201120	0.000000	0.000000	35.568977	0.137850
1	0	0	3	2	4	0.371281	0.477315	1.167394	2.558064	0.007863	0.022047	0.013825	0.079634	0.819119	0.001926	0.401520	0.137850
1	0	0	3	3	4	0.742562	0.000932	2.756014	2.768729	0.024980	0.024468	0.093938	0.090890	0.324375	0.000526	0.002372	0.137850
1	0	0	3	4	4	1.485124	0.000002	3.191263	2.210914	0.038873	0.022875	0.165627	0.063626	0.308707	0.000004	0.000006	0.137850
1	0	0	4	0	5	0.095229	79484.665324	0.021551	0.798660	0.001185	0.088496	0.000048	0.087802	0.000000	0.000000	244.046113	0.145098
1	0	0	4	1	5	0.190459	155.243487	0.118795	1.085138	0.002013	0.038860	0.000358	0.052724	0.000000	0.000000	36.569717	0.145098
1	0	0	4	2	5	0.380917	0.303210	1.197077	3.055635	0.010734	0.034387	0.016876	0.134744	0.662218	0.002064	0.411582	0.145098
1	0	0	4	3	5	0.761835	0.000592	2.557387	2.626480	0.021493	0.021466	0.077368	0.077809	0.643300	0.000488	0.001967	0.145098
1	0	0	4	4	5	1.523670	0.000001	2.885708	2.075823	0.032562	0.019692	0.129589	0.053303	0.429836	0.000004	0.000005	0.145098
1	1	0	0	0	1	0.047505	207749460.635971	0.032898	0.482940	-0.000047	0.004501	0.000017	0.003203	0.000000	0.000000	18461531.933729	0.036108
1	1	0	0	1	1	0.095010	405760.665305	0.198390	0.897014	0.000684	0.007643	0.000383	0.011868	0.000000	0.000000	221539.872629	0.036108
1	1	0	0	2	1	0.190020	792.501299	1.040471	1.106381	0.003270	0.003403	0.007764	0.008450	0.002240	0.000000	681.232678	0.036108
1	1	0	0	3	1	0.380040	1.547854	1.680176	0.509369	0.025428	0.004534	0.057130	0.002572	0.000000	0.001390	1.490404	0.036108
1	1	0	0	4	1	0.760079	0.003023	1.683770	0.202853	0.056694	0.003879	0.109586	0.000649	0.000000	0.000523	0.002995	0.036108
1	1	0	1	0	2	0.052976	38942219.939206	0.088279	2.822194	0.011299	0.477285	0.000851	1.405291	0.000000	0.000000	26207967.935771	0.044904
1	1	0	1	1	2	0.105953	76059.023319	0.799819	2.415988	0.002892	0.010281	0.004273	0.037320	0.000236	0.000000	69121.085296	0.044904
1	1	0	1	2	2	0.211906	148.552780	1.350310	0.786882	0.009971	0.003380	0.022789	0.004427	0.000002	0.000001	186.017381	0.044904
1	1	0	1	3	2	0.423811	0.290142	1.647600	0.389647	0.031252	0.004227	0.065636	0.001658	0.000000	0.002695	0.513453	0.044904
1	1	0	1	4	2	0.847622	0.000567	1.665839	0.181947	0.060019	0.003690	0.113559	0.000542	0.000000	0.000281	0.001099	0.044904
1	1	0	2	0	3	0.083871	415509.295800	0.420889	1.296460	0.002313	0.011598	0.001752	0.023960	0.000000	0.000000	319141.486823	0.112549
1	1	0	2	1	3	0.167741	811.541593	0.959800	0.748587	0.003489	0.001306	0.008093	0.003041	0.000007	0.000013	952.800897	0.112549
1	1	0	2	2	3	0.335483	1.585042	1.708658	0.582298	0.017215	0.003276	0.040756	0.002349	0.000000	0.032164	2.777099	0.112549
1	1	0	2	3	3	0.670965	0.003096	2.371720	0.427744	0.069093	0.008081	0.188501	0.002923	0.000000	0.002329	0.007007	0.112549
1	1	0	2	4	3	1.341930	0.000006	3.662234	0.590256	0.160703	0.019054	0.653044	0.009523	0.000000	0.000012	0.000017	0.112549
1	1	0	3	0	4	0.078772	548023.678582	0.416238	1.500159	0.002686	0.015461	0.001737	0.033491	0.000000	0.000000	470833.269920	0.099280
1	1	0	3	1	4	0.157543	1070.358747	1.093800	0.877625	0.004838	0.002357	0.011193	0.004787	0.000000	0.000001	1408.335330	0.099280
1	1	0	3	2	4	0.315087	2.090544	1.808765	0.661487	0.020858	0.004521	0.051567	0.003481	0.000000	0.026687	4.906790	0.099280
1	1	0	3	3	4	0.630174	0.004083	2.223074	0.404310	0.061248	0.007096	0.158261	0.002476	0.000000	0.003204	0.012640	0.099280
1	1	0	3	4	4	1.260347	0.000008	3.092796	0.453960	0.128632	0.013264	0.441777	0.004963	0.000000	0.000019	0.000030	0.099280
1	1	0	4	0	5	0.068751	1491800.743655	0.223997	0.676473	0.000423	0.004757	0.000441	0.007085	0.000000	0.000000	1055996.757955	0.075627
1	1	0	4	1	5	0.137502	2913.673327	0.916564	0.920812	0.002987	0.002060	0.006928	0.005229	0.000037	0.000000	4155.022636	0.075627
1	1	0	4	2	5	0.275004	5.690768	1.560790	0.663212	0.013982	0.003483	0.032900	0.003297	0.000000	0.018329	15.248310	0.075627
1	1	0	4	3	5	0.550008	0.011115	2.145949	0.444540	0.052711	0.006920	0.134506	0.002764	0.000000	0.007088	0.041902	0.075627
1	1	0	4	4	5	1.100016	0.000022	2.964044	0.428272	0.122290	0.012238	0.402194	0.004266	0.000000	0.000056	0.000099	0.075627
2	0	0	0	0	1	0.094467	427220.986128	0.018314	9.192805	0.015265	8.426373	0.000252	77.286580	0.000000	0.000000	3.698952	0.142785
2	0	0	0	1	1	0.188935	834.415989	0.042574	1.975961	0.004580	0.326999	0.000175	0.645387	0.000000	0.000000	45.262563	0.142785
2	0	0	0	2	1	0.377870	1.629719	0.610424	2.800378	0.010183	0.066255	0.006537	0.210992	0.000000	0.000540	0.786506	0.142785
2	0	0	0	3	1	0.755739	0.003183	2.576841	2.507881	0.020108	0.019641	0.073321	0.069751	0.470643	0.000429	0.002653	0.142785
2	0	0	0	4	1	1.511479	0.000006	3.625306	2.058626	0.042600	0.020363	0.200777	0.051960	0.276973	0.000004	0.000006	0.142785
2	0	0	1	0	2	0.092921	247811.774756	0.002572	0.195438	0.000105	0.042564	0.000002	0.015937	0.000000	0.000000	133.156569	0.138150
