,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_01,0.0,17071.385413904318,16875.120244402322,16750.40310466494,16699.027429040627,17056.3317371896,17125.429769960258,7485.3917049903985,8011.104099905655,8653.839798292738,9382.670798938836,19455.71062929486,20071.195151103286,21613.925742563948,23812.162902923694,27133.644063146014,30357.478416103462,39612.89270661622,55809.8135779555,101404.5497660222,101404.69321999482,4143.570083734069,4032.2639123897898,3965.6896301128904,4222.706734228632,3405.5805527547304,4864.436889643589,6978.283533645554,13060.969643531282,20219.472413708343,32191.164086165347,5976.425459716002,6666.914638518752,6220.429454080542,6329.114509274809,5645.1130472673385,6717.495727814733,4311.881481279282,5090.926350126081,2641.130013982262,4815.038295748526,16698.789807657155,17043.406528646836,9382.767418925807,23810.6204687804,30364.214976564115,100056.78327994974,4183.651570013269,20144.961595588364,6312.808182976854
ep_02,2587317.7874798314,0.0,946.2684841639909,1892.8629687487817,2838.862225985333,3783.909400804425,4743.528257225557,5709.806114418046,6650.310674113754,7592.891720948904,8536.53352412408,1546233.8265023837,2325400.400083635,3109835.316884654,4008734.830057092,5184352.07192769,6366224.941246568,10009077.039724266,14122138.131043198,25494859.340055738,25494859.34061082,2221129.8768408224,3206865.9783119303,4380952.703336532,5702597.258363932,4552895.787403552,5986205.060531004,9341134.335178996,14018398.511975998,35392792.98133834,55282171.28801236,941821.6575249231,942951.6387845327,1046382.41907084,1108063.2153557858,1476094.5957585613,1473657.31988255,1298715.7273445379,1074251.2243635955,2206434.878573242,2668468.5521862153,2838.8805558541294,3783.6198181957457,8536.542430839809,4008734.8311902243,6366224.935155255,25330803.748983726,5713141.842081861,35234345.97961736,1108063.204085557
ep_03,2587316.8826860315,946.2684841639909,0.0,946.9203166552079,1892.622127503616,2837.7838991491085,3800.6919558979125,4770.160617255816,5708.618959447195,6650.026688648627,7592.918200134575,1546234.2429283399,2325400.571938995,3109835.544409613,4008735.0021319943,5184352.170289875,6366225.013399427,10009077.079412349,14122138.172260463,25494859.354775637,25494859.355267003,2221129.9043477336,3206865.9618145493,4380952.642506231,5702597.206044561,4552895.585614479,5986205.043736817,9341134.299192179,14018398.63761516,35392792.94865111,55282171.26014517,941823.9765746706,942953.4212943949,1046384.4163804114,1108065.277892829,1476095.8867276392,1473658.6445068505,1298715.7514614377,1074252.331077781,2206434.4293803954,2668467.8272272986,1892.6496215085785,2837.39775735046,7592.928213737375,4008735.0032651266,6366225.007308112,25330803.776566435,5713141.779910006,35234345.95629627,1108065.266622621
ep_04,2587316.3239891957,1892.55455414627,946.303655310353,0.0,946.5099917988033,1891.0387116905795,2837.3287474057565,3832.0246616309955,4768.414234604098,5708.2707571854025,6650.067347437494,1546235.238365025,2325401.128797541,3109836.0598170036,4008735.3975071777,5184352.437859126,6366225.219593313,10009077.208006963,14122138.27668027,25494859.40461209,25494859.405045506,2221130.334951936,3206866.224509226,4380952.785997131,5702597.310722094,4552895.580487021,5986205.176328917,9341134.358997896,14018398.827085499,35392792.941261925,55282171.24847423,941827.2462516354,942956.1532957164,1046387.2568358724,1108068.138161366,1476097.784281422,1473660.5759570308,1298716.4645748802,1074254.2707512244,2206434.385978102,2668467.4377933983,946.6459384921205,1891.0435270889598,6650.088580951345,4008735.3975485233,6366225.219553275,25330803.83950384,5713141.874440221,35234345.958387144,1108068.132771118
ep_05,2587316.1113590165,2838.8379568300716,1892.5857244862245,946.5214552310845,0.0,944.9194699118677,1891.568468334546,2901.582787009612,3831.606478736314,4768.367558683189,5708.274438635337,1546236.8130022911,2325402.070785978,3109836.863237732,4008736.016426889,5184352.8817422,6366225.573180679,10009077.426635,14122138.444711594,25494859.489575256,25494859.489927497,2221131.1687611267,3206866.766470648,4380953.133973683,5702597.572455935,4552895.7720626155,5986205.458733265,9341134.514727175,14018399.080474325,35392792.95917315,55282171.25300109,941831.4668004551,942959.8350344776,1046390.9663804021,1108071.8175135308,1476100.2885453694,1473663.1159610592,1298717.8676261753,1074257.0445187767,2206434.748425477,2668467.38395571,5.510925825226166,944.9816319071198,5708.28091522337,4008736.016544419,6366225.57306402,25330803.93776349,5713142.1257471545,35234345.98589017,1108071.8113480739
ep_06,195496.2214625183,651.7915405577572,488.59084310307543,325.54512376321526,162.98755762137014,0.0,163.79911523483102,344.2616129364164,500.69886326925035,661.2751986279945,823.2218020845758,116204.86484216477,174689.04875637594,233674.4158169588,301246.43618766475,389517.3157876275,478390.4708776106,752072.5705084227,1061069.9501368443,1915318.049599038,1915318.0673001169,167756.17720166093,242204.9798971342,330879.45647107257,430698.66826068173,343915.19478837156,452112.43037353514,705458.8820325074,1058624.2691167016,2673097.873801271,4175274.9331051214,71360.36539567058,71442.64673505412,79028.10365010407,83686.90654428916,111570.89175692004,111387.0106796588,98079.68621044817,81128.42688400707,166745.66758472947,201628.85404411968,163.51210758322398,6.345924889911053,823.3705146880218,301246.43662815966,478390.4705927609,1903129.4538816323,431495.055575937,2661130.8605044684,83686.86459910276
ep_07,195496.2798911673,815.9019075972927,652.90619746849,490.24685536818754,328.50084782608633,165.90422715559902,0.0,224.67749044315656,352.9593547113597,506.3080104598959,666.5460725935186,116205.94007117407,174689.69179309154,233674.89321613943,301246.7820028073,389517.55132994807,478390.6446926791,752072.6739014544,1061070.0203097633,1915318.0839463898,1915318.0981772528,167756.8943105977,242205.4360854563,330879.75440493465,430698.8784526147,343915.39933308185,452112.61078791757,705458.9787593393,1058624.3693288164,2673097.8870007945,4175274.937812665,71362.69233134192,71444.71626812166,79030.30882141866,83688.94937921087,111572.06780526594,111388.14009701442,98080.4626822137,81129.58247227465,166745.90070892923,201628.90935534006,329.3109430963526,164.10424325180296,667.1801189381662,301246.7830358893,478390.64431794675,1903129.490103286,431495.2625559285,2661130.876496898,83688.83246412373
ep_08,877803.5157946281,8695.703462117057,8358.64857862897,8090.039942996155,7826.037679273749,7960.4453894105945,7861.201337479094,0.0,819.1761723266249,1633.3445094147526,2169.69589911628,492936.8271829763,737262.85428598,989189.9621346807,1276724.8122782472,1646982.9919201662,2026700.3390982647,3182994.5711752144,4487941.545889932,8088346.166180174,8088346.154856851,753589.637024893,1088016.995524675,1486349.410671617,1934746.1215822047,1543525.0972661467,2028531.1058368743,3165406.9915952175,4747958.328908069,12007836.091232765,18755774.66760197,319509.09284457285,319885.9744056515,354717.3625869535,375659.5841243907,500058.2135017882,499230.2735576576,440025.3853280891,363681.4037257591,748186.736711771,904703.800419056,7824.2021818225885,7961.352409434588,2173.8186664865157,1276724.9355525956,2026700.3599481152,8044012.702710283,1938323.4735758754,11954080.011950882,375656.79775818926
ep_09,877818.1493069385,11536.678087601962,11238.385679281706,10984.26744815827,10777.318624373567,10764.618644896878,10199.684576961614,1323.2129270375278,0.0,865.7669918957804,1519.118266930703,492997.7234316993,737303.3760749144,989220.5212652892,1276748.284581057,1646998.886274071,2026711.656028076,3182995.584469747,4487942.301180283,8088347.047739589,8088347.055961471,753604.3934290413,1088027.1537211058,1486356.712439551,1934751.7456596124,1543532.121642183,2028536.874105936,3165410.2099224315,4747960.731188331,12007836.958991934,18755775.212063633,319547.7611069349,319923.676431629,354762.6081974206,375702.7955914391,500083.1811147973,499256.10337659763,440049.02225517354,363711.84919023333,748200.7473454995,904714.7951880497,10792.703344396155,10571.656349541074,1544.4020085877817,1276747.822387196,2026712.3658390525,8044014.1443449985,1938329.0870824908,11954080.902703142,375696.0516780729
ep_10,877808.5827582001,9630.530319783062,9214.55965518576,8836.490988358892,8510.761958055931,8476.592283641829,8205.022566292688,1651.522521841258,773.8386265681337,0.0,843.7977571533576,492954.8131618212,737274.4897444723,989198.9227268173,1276731.4603872604,1646987.9800038855,2026704.182799346,3182996.789275789,4487943.186212135,8088347.063681903,8088347.079070327,753599.0084391832,1088023.3613664203,1486353.869573576,1934749.5452694993,1543528.9684630379,2028534.5695276936,3165409.111958554,4747960.255848098,12007836.564509021,18755774.946854282,319538.92690448684,319913.9318978303,354749.19657994015,375690.4257010843,500076.7345815929,499249.1315794414,440041.61006673006,363704.72833688103,748194.582800114,904709.040944519,8513.296472650816,8451.322198165977,891.0106750512938,1276731.4477153243,2026704.278021263,8044013.704419928,1938326.8452427255,11954080.523767373,375686.996197322
