,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_01,0.0,92533.44494729183,92496.87312562091,92473.92323057569,92454.6303491691,92379.01550826708,92338.58493137233,38987.75279609614,38726.961805548184,38722.56318270147,39056.805245757794,92821.46936527645,93015.027178597,93491.77963080377,94062.58567426921,95107.72006882713,96270.00515673836,56903.698826963584,71154.3062494677,111152.63246116105,111229.05017701519,10244.23701317546,10198.898800644789,10073.26177013192,10266.377926320227,10009.755108322477,10643.89073127184,12133.193054938049,16770.953014575218,23415.53721290873,35409.26007076195,11145.895855371577,11513.64304328803,14983.517538574204,15011.970225061672,10984.588286671144,11528.823002520592,10571.680598714072,10909.876560517283,9890.6390957048,10591.12839759018,92439.05837467333,92327.35684103039,39081.196098617416,94020.11958308678,96145.73275988037,107667.24366678954,10198.1896735886,23398.250902129774,14384.193751469369
ep_02,3033950.9592379173,0.0,1023.5945824890488,2047.7438832734276,3071.7744391866877,4092.719770305103,5116.326637518088,7448.676100441513,8520.803340006603,9560.704189637674,10177.09423797623,1800749.4275200667,2654159.3973181765,3573102.2229752378,4578318.460274428,5907915.672252368,7325151.361773912,11559937.093330327,16334967.605002614,29267229.222667977,29267228.780075256,2605631.519684407,3761337.4457690236,5139190.042455226,6690011.155991661,5337490.6836397685,7017746.394990344,10953123.691072633,16434504.60785994,41509405.818912506,64844638.919688836,1105148.686850272,1105554.4525828762,1226017.7965803288,1299467.3993060542,1729642.0422127205,1727852.2061916653,1524263.7169125027,1260005.3992428489,2587379.3219809514,3129633.569489174,3072.7121613274226,4092.729920142313,10126.88269870823,4578318.461160146,7325151.361739225,29115578.859696966,6702272.296068643,41326027.42331633,1299483.4552695751
ep_03,3033950.0573985116,1023.5945824890488,0.0,1024.7035686387292,2048.674903135204,3069.1316128740154,4092.7399455708983,6630.201360212968,7680.194805351434,8700.165260052992,9260.862073291271,1800749.8542345662,2654159.5815587323,3573102.509020679,4578318.68210344,5907915.771679556,7325151.4352203645,11559937.134291695,16334967.669726454,29267229.23579762,29267228.793155506,2605631.5479137893,3761337.4302680613,5139189.982287694,6690011.104143301,5337490.481725897,7017746.375241422,10953123.651996737,16434504.73320077,41509405.78630459,64844638.89197426,1105151.0017172445,1105556.234373773,1226019.7960627684,1299469.460463769,1729643.347446346,1727853.5147410175,1524263.7502961142,1260006.5061362153,2587378.8762392765,3129632.847280585,2050.0806520390333,3069.145147777228,9205.654371378052,4578318.682989158,7325151.435185678,29115578.8833388,6702272.234426149,41326027.40003094,1299485.5164018231
ep_04,3033936.9407066973,2047.7154022970312,1024.6466517300983,0.0,1030.8869955662635,2046.170944812967,3069.591589159842,5766.425153777612,6779.426707535492,7770.432249056046,8289.084624543068,1800750.8634399283,2654160.160998115,3573103.088421331,4578319.131860377,5907916.048620677,7325151.651942604,11559937.195863936,16334967.751288483,29267229.12707929,29267228.709564503,2605625.9629822746,3761333.5263041765,5139187.012908602,6690008.85405088,5337487.5475872895,7017744.269831684,10953122.344439832,16434504.01313561,41509405.412882484,64844638.64656377,1105140.0823060093,1105544.7867330234,1226017.42000794,1299467.3669490644,1729636.221320142,1727846.3522812182,1524254.668544829,1259996.5861989977,2587372.94256866,3129627.519618326,1034.882731843733,2046.1178398163597,8231.29864885078,4578319.132383664,7325151.6517595425,29115578.516697694,6702269.9538496025,41326027.043212764,1299482.5243379623
ep_05,3033975.3712867796,3071.8800933610455,2048.83331715472,1032.096708641147,0.0,1024.9236341396936,2046.9988940295052,5460.581274196811,6411.547544140951,7349.939681319505,7692.405470418246,1800752.4549447459,2654161.135506866,3573103.9620881686,4578319.815266407,5907916.503169177,7325152.011492171,11559937.63150845,16334968.088439155,29267229.69498503,29267229.20007342,2605645.2791138743,3761346.8723293105,5139196.926692111,6690016.351498512,5337496.737008968,7017751.416272373,10953126.688064344,16434507.059420004,41509406.555515856,64844639.36971238,1105187.8720649518,1105592.0267891923,1226037.1719023145,1299486.2584383409,1729666.5070576519,1727876.766461164,1524286.1952002596,1260035.7912155155,2587391.4134971206,3129642.6469853446,32.442255028286304,1025.2437482697742,7617.110929462833,4578319.816851877,7325152.011741685,29115579.92163276,6702277.503750041,41326028.173319615,1299504.1784996155
ep_06,198916.77018685703,667.646351334012,500.8046904165222,336.87096309063037,178.55873569283864,0.0,167.43328249630008,5031.073069201556,5284.526210173692,5496.866297423194,5164.553968976051,118421.94538470102,174719.20583332705,235164.18139065837,301206.64525906707,388914.5245443422,481807.88731398317,760678.2032157747,1075120.2397175075,1927338.4951027466,1927334.044411044,169888.11198584983,244365.7615764959,333380.0727402844,433652.8201784085,346324.83339745976,455032.49640305847,709754.0536634885,1064837.1108661103,2687907.556803906,4198895.334992098,74497.82533722461,74520.37118973573,80505.96863194925,85204.68554535683,113888.56797898145,113779.91868350167,100631.62338527481,83924.27271951991,168816.53702038797,203749.5535389798,189.10178920460336,7.479843253660416,5098.092565901928,301206.6550552214,481807.88713068044,1916480.1098157233,434450.47445939743,2676031.945851222,85367.09385428276
ep_07,196679.06424356598,835.282463631021,668.6059095649088,502.6491948475089,337.5070779246167,169.48153085826578,0.0,1360.7379088019313,1453.7715273803883,1549.5398769044527,1511.7363835402446,118423.04770040179,174719.8727141865,235164.67887274976,301206.9927921053,388914.7568498202,481808.0539447023,760660.6359016469,1075108.1471535345,1927307.9622828357,1927307.6736382663,168793.95964147703,243606.3072221329,332812.7328671301,433223.1683772726,345790.61999280326,454624.7485468998,709504.5147503837,1064670.833667386,2687840.5964814476,4198852.548933294,71968.36588190284,71991.4318310162,79486.50986962831,84237.54756017173,112254.12548651198,112138.51045881715,98856.36364126265,81787.3521822178,167743.51765134768,202849.34850117605,339.1591104298894,167.76579696732713,1492.958013601543,301206.99531352107,481808.05368345865,1916402.5598061986,434017.3022443029,2675966.2219750364,84248.24638395317
ep_08,979866.852092514,9099.300333299994,8722.652650336271,8391.261852346575,8171.506610840813,7956.531411616805,7835.552576664422,0.0,947.8937228596748,1858.4713441235094,2347.8023017077026,556294.6112273142,817354.1152044247,1100989.2924805854,1412356.13729853,1819159.441176232,2261273.130123742,3564098.430734562,5032820.479032678,9002339.53255146,9002338.550831845,841316.3578399424,1214313.7749057028,1659049.4272844489,2159629.8960711793,1722158.5317305638,2263531.444587283,3532782.5469815056,5298807.813637216,13399319.66417756,20931968.669395324,357212.8433610431,357336.745189631,395662.31071733113,419378.52920507925,558062.4272370138,557487.8436874351,491894.47195438435,406513.57882721664,835099.9057089082,1009923.614614199,8185.128758814283,7949.942562233943,2348.2633063863063,1412356.1078466924,2261273.061713508,8968869.582563184,2163588.5798284616,13340125.132507732,419414.451069936
ep_09,980472.7599528097,11195.153909104165,10835.045232555929,10479.615570906768,10330.4272318073,10049.708354836397,9892.819986010481,1032.1074343665914,0.0,957.7979147627614,1641.9112603196165,556333.0858572542,817380.1005716914,1101008.7656796887,1412370.8118909684,1819171.131823887,2261282.5880822004,3564099.4533326332,5032821.286984313,9002343.501258425,9002341.574303273,841555.4306071363,1214479.35974202,1659173.7495398805,2159723.535289219,1722274.5434069443,2263620.3338155476,3532836.019374088,5298843.7366039045,13399334.030613504,20931977.82972031,357779.5809668056,357902.3261914192,395815.2778488141,419524.2901555697,558423.7985520904,557851.141729232,492278.9280136095,406980.6096855297,835331.545938627,1010117.9852291864,10360.753744671421,10041.935601289495,1717.2748475428502,1412370.6069216488,2261282.431401533,8968886.19753487,2163683.2847712454,13340139.136778265,419599.357709135
ep_10,982706.5852942669,17221.450387847784,16953.59605052223,16630.279929404038,16661.414049060255,16344.956770381224,16187.91165537862,2525.534229555924,1167.0652709830056,0.0,1790.8683250010388,556487.1020858086,817484.7352758757,1101086.4243548885,1412429.8726721446,1819217.9743119574,2261320.2935664225,3564100.725196798,5032822.296135228,9002356.998695742,9002351.565436551,842426.5132607863,1215083.061028382,1659627.521454659,2160065.256359772,1722698.4881494874,2263944.6086224555,3533031.0045837015,5298974.010887671,13399386.540548375,20932011.342676725,359827.7369750029,359948.8288198834,396353.48570827214,420036.6289905517,559733.4085390383,559168.0042863708,493676.85627960943,408672.3229948943,836177.3446800706,1010829.7182388162,16718.25322029354,16322.385766273464,2080.459575128153,1412429.1289071464,2261319.9362598755,8968946.331156597,2164029.0174649633,13340190.25424224,420253.0481383648
ep_11,989128.5720695808,19959.975001322,19698.37554410915,19280.930319284435,19562.918805360652,19099.086390332726,18939.650220038453,2429.061331654983,1990.9472773905295,2730.675022630711,0.0,556579.5203936509,817547.4490039756,1101132.559533296,1412462.8698810465,1819246.021260983,2261343.156593548,3564102.7613764387,5032823.581392904,9002402.726326386,9002386.162746482,845036.8397768388,1216894.2098768312,1660988.2176120842,2161091.0246589524,1723971.7623014518,2264917.9851722717,3533618.076741156,5299365.724739038,13399544.59984163,20932112.255762044,365901.2365533333,366019.3799777822,398032.92692504154,421634.3013678963,563643.4302069228,563098.5092372954,497861.4538658225,413719.4845102941,838717.3930259859,1012968.158229922,19682.6309596228,19076.236689810044,514.1444365073174,1412461.1872486505,2261342.3973895754,8969129.145127483,2165066.297741202,13340344.288301876,422277.674898965
ep_12,47171.10253922291,314.9219082303947,329.18989768895204,373.87287212090666,436.7544609245158,495.31790544615984,572.5829853169759,5366.348879456309,5880.704591441021,6302.218913503263,5545.340446365728,0.0,183.70186168275424,366.6175826357837,573.859350815982,817.000738670742,1052.3276380370914,6341.304620141634,6475.697760087242,16514.516474769218,15196.096160134415,29891.17945406066,29891.450522770796,30210.722590614794,29972.55073457608,29854.197296331586,29907.18790665515,29171.111654518016,29178.268838167496,29488.579222172455,29556.243703756732,29892.605619548627,29892.804973235485,18776.57699222309,18830.507427637338,29851.92751059453,29905.97561571466,29167.122628638517,29169.142409697815,29479.69142612735,29695.41746951699,446.94044802881723,495.4915283901542,5394.710112052736,585.2434563719461,1052.056421500848,26922.85604053187,30134.78188762167,29123.299713776036,20545.730005233585
ep_13,47175.7004603167,304.24106462450027,289.21818186269815,311.34410954494285,360.2227955592581,407.75155657990916,480.1895564484998,5357.847893076841,5871.39565010235,6292.083039193352,5532.166887018949,134.7278612760221,0.0,136.9904053817917,309.6051415232606,450.7095609107369,617.3785623563012,6180.136944717423,6133.030480436066,16047.73682747,14686.861769642896,29891.599588935074,29891.534778691064,30210.52270516537,29972.139322606978,29861.59401946904,29910.02791294769,29174.368450408234,29180.377128300366,29509.479574786248,29614.263891076807,29897.161431062523,29896.989436080887,18776.375897298505,18829.827328023483,29852.194747075355,29905.905983989138,29165.665021174922,29167.470698006957,29482.511123633874,29698.857119551147,372.50740581532403,407.9624482034822,5381.167809389828,330.22824283346796,616.9161575948384,26650.813849368198,30134.372903375788,29144.233615039357,20545.106684289345
ep_14,46207.04964822466,452.34166844750087,421.97392656286513,414.1171570079559,439.6798941361014,453.0222852845918,503.13039853323414,5223.070116918688,5726.106926977914,6138.118544876314,5391.240920449282,202.6229587908122,107.51718657167328,0.0,157.51922931288155,213.44778694980033,324.49005415748707,5969.215221456536,5833.801515471476,15484.470706156413,14129.195003767027,29275.74031060059,29275.276964438457,29587.409175164674,29353.109446735023,29235.61147670837,29287.72693555921,28564.787650547463,28568.821099972203,28851.277485066315,28881.050190101647,29276.310153078408,29275.857913643453,18381.46422392472,18433.393363500207,29234.821136311213,29287.19968881355,28562.988605031733,28564.463031673156,28866.98250044709,29077.75352045501,451.1311826367044,452.9987364966068,5242.94447441049,189.526356929994,321.7880036658859,25970.434670492214,29512.115169003784,28493.127315006437,20114.596294898372
ep_15,43448.52098332175,389.2553392022337,326.2987255544613,261.1374658893758,320.15239689179947,284.4404817105635,329.8093084986742,4818.52848667461,5291.108625505233,5678.321928638787,4974.342421470756,342.14536359290156,249.56147024591584,155.82279102451704,0.0,173.75269163813607,278.55015692588483,5523.9694805520485,5404.266613269045,14510.682357920386,13235.586799354345,27489.410534396906,27488.503793395266,27782.259229255873,27561.134894085248,27454.720172698602,27501.03642050865,26819.849621051,26823.41536521521,27103.258915342285,27159.320686947365,27492.482779834452,27491.65673984113,17222.875788695197,17271.31424218154,27450.136894059717,27499.284211109894,26815.81610427212,26817.222328820983,27104.89929817402,27303.917252750853,346.0033454641425,282.8879207389354,4834.711662734226,37.65394375717792,263.80182695774215,24384.457926747604,27710.983724919344,26765.760627553962,18855.410553083657
ep_16,9935.570586357764,403.7805676113397,343.88413255514604,294.15375286862246,260.99752957332333,246.27804795816974,259.91541094928436,3057.99709125782,3107.405224996852,3145.7085614641746,3101.7529284481498,359.27637513616037,274.15150705647375,188.6577089515146,109.59451753793341,0.0,115.26221633068339,3119.77842639937,3130.533283492445,4950.380366867814,4805.506550228754,7073.99165519404,7070.453521681858,7114.664935764984,7078.287635564474,7089.455618752278,7082.980492223949,6978.511634122609,6980.166744562346,7094.461145246231,7246.7113218382,7089.926058138015,7086.722703459797,5597.78148528198,5602.069848405695,7066.156032470783,7074.91616377625,6963.330608053461,6965.884771329632,7030.224754263918,7068.250245582745,262.11010467459613,245.57395286676652,3092.447398092637,112.82081109652854,100.07583732499526,6649.153642193098,7101.979282715679,7041.446770696965,5807.2871925608615
ep_17,16089.483123345155,615.6302007380453,566.904721129234,527.9087650467661,500.27552198357665,473.76925234400085,466.22024014122536,3699.9448662196787,3847.8206888418417,3955.813076157416,3687.895632462172,528.6315082917729,433.24172673586645,337.3580993845338,259.14320317137845,122.88788428276547,0.0,3882.8303402035467,3828.8511577292484,7395.451611295539,6996.974597126663,11219.765478351275,11215.688086187003,11299.180364185486,11231.493611555252,11911.489914843794,11562.953765170034,11413.946883651523,11261.569367777225,11312.452850257641,11695.52916616468,11602.365830490022,11597.979922560142,8318.911901970048,8328.520535915844,11300.698267281481,11334.868783148855,11054.093774581617,11055.732386885762,11550.742023376735,11687.196433080711,505.65822401489817,473.5507444833828,3633.972673587441,271.7593005197971,18.779167846175344,10416.797623956536,11271.991058821508,11218.200642505002,8806.890068800058
