    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  94.22 10000.00 2   0.0 -70.0            0   0   1400  42949673000
     1  0 1  95.27 10010.50 2   0.0 -69.4      1029900   0   1300      1029900
     2  0 1  95.62 10019.50 2   0.0 -68.8      2039800   0   1150      1009900
     3  0 1  95.62 10040.50 2   0.0 -67.5      3989350   0   1250      1949550
     4  0 1  94.92 10048.00 2   0.0 -66.9      4989000   0   1400       999650
     5  0 1  94.92 10057.00 2   0.0 -66.3      5999450   0   1250      1010450
     6  0 1  94.22 10063.00 2   0.0 -65.6      7019900   0   1300      1020450
     7  0 1  95.62 10069.00 2   0.0 -65.0      8010250   0   1350       990350
     8  0 1  95.27 10075.00 2   0.0 -64.4      9021950   0   1150      1011700
     9  0 1  94.57 10075.00 2   0.0 -63.8     10037900   0   1150      1015950
    10  0 1  94.22 10079.50 2   0.0 -63.1     11067900   0   1100      1030000
    11  0 1  95.62 10079.50 2   0.0 -62.5     12077500   0   1500      1009600
    12  0 1  94.92 10075.00 2   0.0 -61.3     14027600   0   1250      1950100
    13  0 1  94.22 10072.00 2   0.0 -60.6     15028050   0   1100      1000450
    14  0 1  95.27 10066.00 2   0.0 -60.0     16037650   0   1350      1009600
    15  0 1  94.22 10058.50 2   0.0 -59.4     17057150   0   1400      1019500
    16  0 1  95.27 10051.00 2   0.0 -58.8     18047400   0   1250       990250
    17  0 1  95.62 10045.00 2   0.0 -58.1     19059500   0   1350      1012100
    18  0 1  95.62 10034.50 2   0.0 -57.5     20075150   0   1150      1015650
    19  0 1  95.62 10024.00 2   0.0 -57.2     21105150   0   1350      1030000
    20  0 1  94.22 10015.00 2   0.0 -56.6     22115400   0   1300      1010250
    21  0 1  95.62  9991.00 2   0.0 -55.3     24065050   0   1100      1949650
    22  0 1  94.22  9982.00 2   0.0 -54.7     25064650   0   1400       999600
    23  0 1  94.57  9971.50 2   0.0 -54.1     26074950   0   1500      1010300
    24  0 1  94.22  9964.00 2   0.0 -53.4     27095100   0   1250      1020150
    25  0 1  95.27  9953.50 2   0.0 -53.1     28085150   0   1100       990050
    26  0 1  95.27  9943.00 2   0.0 -52.5     29097400   0   1300      1012250
    27  0 1  95.27  9938.50 2   0.0 -51.9     30113650   0   1500      1016250
    28  0 1  94.57  9931.00 2   0.0 -51.3     31143900   0   1250      1030250
    29  0 1  95.27  9926.50 2   0.0 -50.6     32154050   0   1200      1010150
    30  0 1  94.92  9919.00 2   0.0 -49.7     34104150   0   1300      1950100
    31  0 1  95.27  9919.00 2   0.0 -49.1     35104450   0   1200      1000300
    32  0 1  95.27  9919.00 2   0.0 -48.4     36114500   0   1200      1010050
    33  0 1  94.92  9922.00 2   0.0 -48.1     37134650   0   1100      1020150
    34  0 1  94.92  9925.00 2   0.0 -47.5     38124450   0   1250       989800
    35  0 1  94.22  9929.50 2   0.0 -46.9     39136300   0   1500      1011850
    36  0 1  94.22  9934.00 2   0.0 -46.6     40152500   0   1500      1016200
    37  0 1  94.57  9943.00 2   0.0 -45.9     41182550   0   1150      1030050
    38  0 1  94.57  9952.00 2   0.0 -45.6     42192200   0   1250      1009650
    39  0 1  95.62  9970.00 2   0.0 -44.4     44142300   0   1350      1950100
    40  0 1  94.57  9980.50 2   0.0 -44.1     45142550   0   1150      1000250
    41  0 1  95.62  9989.50 2   0.0 -43.4     46152350   0   1350      1009800
    42  0 1  95.62 10000.00 2   0.0 -43.1     47172150   0   1400      1019800
    43  0 1  95.62 10010.50 2   0.0 -42.5     48162400   0   1250       990250
    44  0 1  94.92 10021.00 2   0.0 -42.2     49174450   0   1250      1012050
    45  0 1  94.57 10033.00 2   0.0 -41.6     50190600   0   1050      1016150
    46  0 1  95.62 10042.00 2   0.0 -41.3     51220900   0   1300      1030300
    47  0 1  95.27 10049.50 2   0.0 -40.9     52230550   0   1200      1009650
    48  0 1  95.27 10066.00 2   0.0 -40.0     54181100   0   1250      1950550
    49  0 1  95.27 10070.50 2   0.0 -39.7     55180750   0   1350       999650
    50  0 1  94.22 10073.50 2   0.0 -39.1     56190400   0   1400      1009650
    51  0 1  94.92 10076.50 2   0.0 -38.8     57210850   0   1450      1020450
    52  0 1  94.22 10078.00 2   0.0 -38.4     58200750   0   1400       989900
    53  0 1  95.62 10078.00 2   0.0 -38.1     59213050   0   1300      1012300
    54  0 1  95.27 10078.00 2   0.0 -37.5     60229250   0   1500      1016200
    55  0 1  94.22 10075.00 2   0.0 -37.2     61259100   0   1400      1029850
    56  0 1  95.62 10069.00 2   0.0 -36.9     62268750   0   1400      1009650
    57  0 1  94.22 10060.00 2   0.0 -36.3     64218550   0   1350      1949800
    58  0 1  94.22 10049.50 2   0.0 -35.9     65218500   0   1400       999950
    59  0 1  95.62 10042.00 2   0.0 -35.6     66228100   0   1350      1009600
    60  0 1  95.27 10033.00 2   0.0 -35.3     67248350   0   1400      1020250
    61  0 1  95.27 10024.00 2   0.0 -35.0     68237900   0   1300       989550
    62  0 1  94.57 10013.50 2   0.0 -34.7     69249950   0   1300      1012050
    63  0 1  94.57 10003.00 2   0.0 -34.4     70265700   0   1250      1015750
    64  0 1  94.92  9989.50 2   0.0 -34.1     71295350   0   1350      1029650
    65  0 1  95.62  9979.00 2   0.0 -33.8     72305050   0   1400      1009700
