,ep_01,ep_02,ep_03,ep_04,ep_05,ep_06,ep_07,ep_08,ep_09,ep_10,ep_11,ep_12,ep_13,ep_14,ep_15,ep_16,ep_17,ep_18,ep_19,ep_20,ep_21,ep_22,ep_23,ep_24,ep_25,ep_26,ep_27,ep_28,ep_29,ep_30,ep_31,ep_32,ep_33,ep_34,ep_35,ep_36,ep_37,ep_38,ep_39,ep_40,ep_41,ep_42,ep_43,ep_44,ep_45,ep_46,ep_47,ep_48,ep_49,ep_50
ep_01,0.0,28917.542022645946,28908.156572885007,28888.06318906126,28864.073562560196,28870.956310555084,27818.399403828273,11086.903803682577,11628.019299365895,12029.613849645135,12063.739947803944,34556.62457011813,41753.10782954907,50361.588943166425,60261.39046767789,76110.11118284227,89135.47666678469,140303.30093559847,196765.7407542177,358461.5519403613,358462.1579156906,2357.9275418211937,2327.1859994001593,2530.0073114346314,3003.373142733134,6736.315033406599,11067.419911896153,17834.48190070259,32522.946763584343,22082.2723551113,35439.204145303855,2944.475104084214,3258.360889599232,6302.135547715651,6242.597755635332,3579.6351385635285,3712.5410832394246,3171.8154445235346,2990.9615044870748,3505.5738884197704,4519.408000209743,28841.482011164317,28384.347968206755,12063.141208356776,60228.46998165668,89294.71274671218,354843.47113255464,3008.1711821945546,21958.652914599606,5364.276610492593
ep_02,530441.7764930172,0.0,438.78027750726767,882.3710831046902,1325.044509556104,1756.273775967725,2206.1497794375537,2716.2720093225075,3109.3773549466673,3538.95839307655,3979.9844661074126,492599.18344931,745511.1792467129,1000807.3920219482,1271068.2212293241,1671826.8146586025,2019522.3687396692,3255998.9928218084,4568034.116726153,8255648.68944471,8255648.700926361,455022.20505803893,656825.0928660431,897515.4196201096,1168346.9671862505,941125.7035953901,1244273.584544161,1941081.5706809533,2929992.801528935,7250830.809854699,11324574.295713222,194625.36370923894,194702.05209244258,216833.85067002033,229438.49155862824,308410.1949138306,308022.98036599124,270636.2833695417,225955.42781235115,455265.0986712252,551867.0092000335,1333.1959252335762,1757.643050676076,3983.9021201535174,1271068.2341309171,2019522.360502853,8203130.93639073,1170501.490279859,7216808.252760436,229436.4207965259
ep_03,530440.769354591,438.7802775072674,0.0,448.32391472157667,890.5629077488019,1318.1256016261789,1770.5925875152916,2293.449982310631,2676.7425099041793,3104.1735088331047,3544.980500878936,492599.46815637394,745511.3067770256,1000807.5529888488,1271068.31204467,1671826.8513588423,2019522.3906844917,3255999.013081098,4568034.122890294,8255648.692782939,8255648.703472235,455022.23959411157,656825.0712129971,897515.3472199531,1168346.9005205908,941125.4751773794,1244273.5430920532,1941081.5155556716,2929992.9130760715,7250830.770200556,11324574.262764903,194627.71537102383,194703.83297574194,216835.8133950422,229440.49667493827,308411.4216739753,308024.1953774145,270636.18103415135,225956.3432186335,455264.54348156665,551866.184628741,902.6465063426745,1319.9494759650267,3549.3783264283416,1271068.324946262,2019522.3824476756,8203130.943859531,1170501.4136962504,7216808.222443222,229438.42593093283
ep_04,530440.1704143477,882.0984168960455,447.78702672414033,0.0,499.01106202888917,883.8245406806861,1325.9394438229563,1872.3734196466844,2252.5039353670195,2671.5845305511175,3120.1626356744423,492600.15207031654,745511.6980850757,1000807.9085795465,1271068.5428461677,1671827.0001287356,2019522.50418802,3255999.093731265,4568034.174110132,8255648.721591848,8255648.733968935,455022.73748081335,656825.3705509268,897515.5066803768,1168347.0137541234,941125.4714346365,1244273.6655917135,1941081.570856609,2929993.0977791096,7250830.760166399,11324574.248811822,194631.1502613754,194706.69667942624,216837.28098435784,229441.9709745565,308413.3340282592,308026.0726691361,270636.8707068775,225958.20723355305,455264.45912967395,551865.7454677107,529.8826654604762,885.4142242121575,3126.7758438320293,1271068.549202884,2019522.4979531153,8203130.980451332,1170501.5154362684,7216808.22229616,229440.48182542293
ep_05,530439.884143985,1324.6372909469605,889.9569050917746,498.69714841417016,0.0,464.53672606898317,898.8597988398204,1438.7612013494231,1823.8324772592566,2252.4178063186687,2672.7533271171387,492601.22941393184,745512.3493542274,1000808.4659101536,1271068.979478763,1671827.2743038835,2019522.7178713647,3255999.236425832,4568034.264203354,8255648.771573301,8255648.776165654,455023.633805686,656825.9459116029,897515.8796839413,1168347.2843756906,941125.6581198692,1244273.939465461,1941081.710876497,2929993.338607317,7250830.77312247,11324574.24946404,194635.516572628,194710.49146383564,216839.5866775965,229444.29488589536,308415.82745890727,308028.5614220047,270638.16800311604,225960.7989994642,455264.7447476088,551865.6224345439,59.2761808410481,471.6894303779719,2675.091982315565,1271068.9965827763,2019522.716640324,8203131.026043942,1170501.7785831715,7216808.24367567,229443.10393375196
ep_06,2541150.7231296506,3245.485798385947,2433.7670419166943,1622.0847692580687,811.0469715056963,0.0,813.9745826788021,1675.0416721036177,2463.824384645437,3268.21022756791,4076.5311738908204,1750478.0196760336,2616887.0658164104,3533768.1802733736,4507412.190748781,5887388.33491644,7174503.538197052,11461718.130120613,16101035.149095029,28935042.57327351,28935042.58089251,2181478.117287935,3148972.928183701,4302910.576028666,5601353.601609592,4479884.655719792,5899806.968411247,9204642.460218083,13831837.566098468,34762477.46356723,54293145.6407431,926638.1560995877,927017.4450435179,1029822.4422433632,1090720.974236435,1456103.4563916228,1454256.6263947105,1280812.8684507953,1061138.2424004602,2169775.882263745,2626807.342699518,811.5175152362206,33.256471020414786,4076.6699705249903,4507412.190837359,7174503.537914557,28842371.665996913,5611681.7612676425,34599387.074538626,1090720.9077979345
ep_07,2541150.977204991,4057.4183786432445,3245.7413625588215,2434.064685961963,1622.6435139756388,812.4386144259703,0.0,873.2982897153328,1655.4084372107357,2457.2109002331713,3264.264732158547,1750479.7959087351,2616888.1870251046,3533769.0643168585,4507412.844505305,5887388.800553695,7174503.908227384,11461718.364763513,16101035.306765925,28935042.659652114,28935042.665559657,2181479.341146986,3148973.736273432,4302911.12242377,5601354.0089785615,4479885.058248541,5899807.359602293,9204642.688819278,13831837.819246165,34762477.50554094,54293145.661946796,926642.6030916931,927021.4682967915,1029826.1002882525,1090724.505816054,1456106.0324607475,1454259.1746844305,1280814.7145755815,1061141.1709409754,2169776.6073328266,2626807.6785800806,1622.7021783339496,812.2465965645717,3264.309600649706,4507412.844465946,7174503.908139292,28842371.75529777,5611682.16100682,34599387.12322887,1090724.4991105688
ep_08,350766.0892856423,2146.7506024464833,1814.4882126107675,1485.5947426728396,1179.9424105023118,883.5056943209794,617.8454980982158,0.0,421.0105739074677,756.8828939592651,1095.8299677105047,306305.8271101286,462659.2764538416,621669.8444429543,790087.9480288416,1038043.0362908511,1255682.7352888528,2021535.738958137,2836709.2832859084,5122123.50503922,5122123.510760932,300995.9962969504,434484.0202770408,593696.7050204992,772848.0966067517,621361.1109662906,820723.5429044898,1280389.0427105138,1930517.1771331923,4796341.7704745075,7491077.839562058,128409.63969353602,128456.95112520028,143110.19423507905,151464.22525182253,203169.30225228405,202912.9260313704,178438.56496505628,148691.48840719194,300632.4770790328,364317.94907814375,1183.0846809012355,869.826484067697,1099.0581300693716,790087.9456789829,1255682.7396607313,5092081.908052066,774273.1869771205,4773837.317976062,151463.13110063047
ep_09,350767.45606184093,2704.692460222404,2399.986965092466,2106.5877131440525,1830.7383085519082,1552.8358883984095,1186.8825975434381,384.9171245556617,0.0,359.38449526491377,698.3346673905234,306310.41317795624,462662.2491112375,621672.1022897238,790089.6974818176,1038044.1570069346,1255683.5139276015,2021536.0919213227,2836709.5210579727,5122123.64353978,5122123.645526638,300998.5816838392,434485.7651079412,593697.9329104418,772849.0250950269,621362.1780590911,820724.5250852059,1280389.6113229338,1930517.6909149655,4796341.890835766,7491077.909299818,128417.80677824342,128464.5727361791,143118.15027023427,151471.83690520807,203174.35347364892,202918.18330812675,178442.91708389597,148697.66488560176,300634.4743811608,364319.2502173353,1828.045557614696,1489.9682115935373,698.7560743772347,790089.6798377068,1255683.584168287,5092082.06023193,774274.1072975079,4773837.447503276,151471.3093300771
ep_10,350768.44697766623,2807.058721832809,2466.7593315275426,2128.079618220436,1792.6081414678217,1465.9676139748547,1157.7016944998293,703.0844786938526,348.94074320950176,0.0,349.00801577414904,306311.33863904903,462662.798239183,621672.5931331073,790090.0437171487,1038044.5759429006,1255684.0065199467,2021536.52180528,2836709.8183054626,5122123.800394471,5122123.801245691,301001.0720142208,434487.44409465307,593699.1046899561,772849.9129425659,621363.1172846844,820725.3228600603,1280390.1203561595,1930518.1651816722,4796342.005414438,7491077.975465448,128425.75060470939,128471.97123627491,143122.49368377533,151476.09238971744,203179.01353121724,202922.69462113673,178446.84160682643,148703.32811183287,300636.3714890477,364320.47202295344,1792.765134370067,1464.459805245095,350.43206080469747,790090.0459304093,1255683.9964125664,5092082.209641932,774274.9837261172,4773837.571434825,151475.98572408844
