    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  94.57 10004.50 2   0.0 -70.0            0   0    950  42949673000
     1  0 1  93.87 10006.00 2   0.0 -67.5       999500   0   1150       999500
     2  0 1  95.27 10004.50 2   0.0 -65.0      2009300   0   1150      1009800
     3  0 1  94.92 10006.00 2   0.0 -62.5      3029550   0   1350      1020250
     4  0 1  95.62 10006.00 2   0.0 -60.0      4059650   0   1050      1030100
     5  0 1  95.62 10006.00 2   0.0 -55.3      6068850   0   1000      2009200
     6  0 1  93.52 10004.50 2   0.0 -53.1      7088700   0   1000      1019850
     7  0 1  93.87 10004.50 2   0.0 -50.6      8118400   0   1000      1029700
     8  0 1  95.98 10006.00 2   0.0 -48.4      9118600   0   1250      1000200
     9  0 1  93.52 10004.50 2   0.0 -46.6     10128850   0   1100      1010250
    10  0 1  94.22 10006.00 2   0.0 -44.4     11148750   0   1350      1019900
    11  0 1  95.98 10006.00 2   0.0 -42.5     12178700   0   1000      1029950
    12  0 1  95.62 10004.50 2   0.0 -40.9     13179100   0   1250      1000400
    13  0 1  94.92 10006.00 2   0.0 -39.1     14188650   0   1350      1009550
    14  0 1  95.62 10006.00 2   0.0 -36.3     16239000   0   1200      2050350
    15  0 1  95.27 10004.50 2   0.0 -35.0     17239200   0   1400      1000200
    16  0 1  94.92 10004.50 2   0.0 -33.8     18248850   0   1100      1009650
    17  0 1  93.87 10004.50 2   0.0 -32.8     19268800   0   1400      1019950
    18  0 1  93.87 10006.00 2   0.0 -31.9     20299200   0    950      1030400
    19  0 1  95.98 10006.00 2   0.0 -31.3     21298750   0   1200       999550
    20  0 1  95.98 10004.50 2   0.0 -30.6     22308850   0   1200      1010100
    21  0 1  93.52 10006.00 2   0.0 -30.3     23329250   0   1300      1020400
    22  0 1  93.87 10006.00 2   0.0 -30.0     24359550   0   1300      1030300
    23  0 1  93.52 10006.00 2   0.0 -30.0     26369650   0   1300      2010100
    24  0 1  94.22 10006.00 2   0.0 -30.3     27389600   0    950      1019950
    25  0 1  95.98 10004.50 2   0.0 -30.6     28419250   0   1100      1029650
    26  0 1  94.57 10006.00 2   0.0 -31.3     29419350   0   1250      1000100
    27  0 1  95.62 10004.50 2   0.0 -31.9     30429350   0   1050      1010000
    28  0 1  93.52 10006.00 2   0.0 -32.8     31449350   0   1300      1020000
    29  0 1  94.22 10006.00 2   0.0 -33.8     32479150   0    950      1029800
    30  0 1  95.98 10006.00 2   0.0 -35.0     33479150   0   1250      1000000
    31  0 1  94.92 10004.50 2   0.0 -36.3     34489400   0   1250      1010250
    32  0 1  95.62 10006.00 2   0.0 -39.1     36539550   0   1350      2050150
    33  0 1  94.22 10006.00 2   0.0 -40.9     37539900   0    950      1000350
    34  0 1  93.87 10006.00 2   0.0 -42.5     38549450   0    950      1009550
    35  0 1  95.27 10006.00 2   0.0 -44.4     39569800   0   1000      1020350
    36  0 1  94.22 10004.50 2   0.0 -46.6     40599450   0    950      1029650
    37  0 1  94.57 10006.00 2   0.0 -48.4     41599550   0   1200      1000100
    38  0 1  93.52 10006.00 2   0.0 -50.6     42609250   0   1200      1009700
    39  0 1  95.98 10006.00 2   0.0 -53.1     43629550   0   1150      1020300
    40  0 1  93.52 10006.00 2   0.0 -55.3     44659300   0   1000      1029750
    41  0 1  93.87 10006.00 2   0.0 -60.0     46669850   0   1000      2010550
    42  0 1  93.52 10006.00 2   0.0 -62.5     47690250   0   1050      1020400
    43  0 1  93.52 10004.50 2   0.0 -65.0     48720200   0   1350      1029950
    44  0 1  95.98 10004.50 2   0.0 -67.5     49720050   0   1250       999850
