    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  94.57 10007.50 2   0.0 -70.0            0   0   1050  42949673000
     1  0 1  93.87 10009.00 2   0.0 -67.5       999500   0   1250       999500
     2  0 1  95.27 10007.50 2   0.0 -65.0      1989300   0   1250       989800
     3  0 1  94.92 10009.00 2   0.0 -62.5      2969550   0   1450       980250
     4  0 1  95.62 10009.00 2   0.0 -60.0      3939650   0   1150       970100
     5  0 1  95.62 10009.00 2   0.0 -55.3      5848850   0   1100      1909200
     6  0 1  93.52 10007.50 2   0.0 -53.1      6848700   0   1100       999850
     7  0 1  93.87 10007.50 2   0.0 -50.6      7838400   0   1100       989700
     8  0 1  95.98 10009.00 2   0.0 -48.4      8818600   0   1350       980200
     9  0 1  93.52 10007.50 2   0.0 -46.6      9788850   0   1200       970250
    10  0 1  94.22 10009.00 2   0.0 -44.4     10748750   0   1450       959900
    11  0 1  95.98 10009.00 2   0.0 -42.5     11698700   0   1100       949950
    12  0 1  95.62 10007.50 2   0.0 -40.9     12699100   0   1350      1000400
    13  0 1  94.92 10009.00 2   0.0 -39.1     13688650   0   1450       989550
    14  0 1  95.62 10009.00 2   0.0 -36.3     15639000   0   1300      1950350
    15  0 1  95.27 10007.50 2   0.0 -35.0     16599200   0   1500       960200
    16  0 1  94.92 10007.50 2   0.0 -33.8     17548850   0   1200       949650
    17  0 1  93.87 10007.50 2   0.0 -32.8     18548800   0   1500       999950
    18  0 1  93.87 10009.00 2   0.0 -31.9     19539200   0   1050       990400
    19  0 1  95.98 10009.00 2   0.0 -31.3     20518750   0   1300       979550
    20  0 1  95.98 10007.50 2   0.0 -30.6     21488850   0   1300       970100
    21  0 1  93.52 10009.00 2   0.0 -30.3     22449250   0   1400       960400
    22  0 1  93.87 10009.00 2   0.0 -30.0     23399550   0   1400       950300
    23  0 1  93.52 10009.00 2   0.0 -30.0     25389650   0   1400      1990100
    24  0 1  94.22 10009.00 2   0.0 -30.3     26369600   0   1050       979950
    25  0 1  95.98 10007.50 2   0.0 -30.6     27339250   0   1200       969650
    26  0 1  94.57 10009.00 2   0.0 -31.3     28299350   0   1350       960100
    27  0 1  95.62 10007.50 2   0.0 -31.9     29249350   0   1150       950000
    28  0 1  93.52 10009.00 2   0.0 -32.8     30249350   0   1400      1000000
    29  0 1  94.22 10009.00 2   0.0 -33.8     31239150   0   1050       989800
    30  0 1  95.98 10009.00 2   0.0 -35.0     32219150   0   1350       980000
    31  0 1  94.92 10007.50 2   0.0 -36.3     33189400   0   1350       970250
    32  0 1  95.62 10009.00 2   0.0 -39.1     35099550   0   1450      1910150
    33  0 1  94.22 10009.00 2   0.0 -40.9     36099900   0   1050      1000350
    34  0 1  93.87 10009.00 2   0.0 -42.5     37089450   0   1050       989550
    35  0 1  95.27 10009.00 2   0.0 -44.4     38069800   0   1100       980350
    36  0 1  94.22 10007.50 2   0.0 -46.6     39039450   0   1050       969650
    37  0 1  94.57 10009.00 2   0.0 -48.4     39999550   0   1300       960100
    38  0 1  93.52 10009.00 2   0.0 -50.6     40949250   0   1300       949700
    39  0 1  95.98 10009.00 2   0.0 -53.1     41949550   0   1250      1000300
    40  0 1  93.52 10009.00 2   0.0 -55.3     42939300   0   1100       989750
    41  0 1  93.87 10009.00 2   0.0 -60.0     44889850   0   1100      1950550
    42  0 1  93.52 10009.00 2   0.0 -62.5     45850250   0   1150       960400
    43  0 1  93.52 10007.50 2   0.0 -65.0     46800200   0   1450       949950
    44  0 1  95.98 10007.50 2   0.0 -67.5     47800050   0   1350       999850
