    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  94.22 10057.00 2   0.0 -70.0            0   0   1700  42949673000
     1  0 1  94.92  9919.00 2   0.0 -67.5       839950   0   1300       839950
     2  0 1  95.62  9925.00 2   0.0 -62.5      2859400   0   1450      2019450
     3  0 1  94.92  9985.00 2   0.0 -60.0      3962950   0   1400      1103550
     4  0 1  95.27 10012.00 2   0.0 -57.5      5113050   0   1600      1150100
     5  0 1  95.62  9983.50 2   0.0 -55.3      5996500   0   1400       883450
     6  0 1  94.92  9940.00 2   0.0 -53.1      7183750   0   1400      1187250
     7  0 1  94.22 10054.00 2   0.0 -50.6      8232200   0   1700      1048450
     8  0 1  94.92 10076.50 2   0.0 -48.4      9371850   0   1400      1139650
     9  0 1  94.57 10018.00 2   0.0 -46.6     10443500   0   1250      1071650
    10  0 1  94.57 10024.00 2   0.0 -44.4     11545950   0   1300      1102450
    11  0 1  94.22 10091.50 2   0.0 -40.9     13388750   0   1600      1842800
    12  0 1  94.57  9928.00 2   0.0 -39.1     14536150   0   1500      1147400
    13  0 1  95.27  9970.00 2   0.0 -37.5     15640750   0   1350      1104600
    14  0 1  95.62  9971.50 2   0.0 -36.3     16523050   0   1300       882300
    15  0 1  95.62  9977.50 2   0.0 -35.0     17374350   0   1500       851300
    16  0 1  95.62  9937.00 2   0.0 -33.8     18502950   0   1600      1128600
    17  0 1  94.57 10096.00 2   0.0 -32.8     19378650   0   1500       875700
    18  0 1  95.62 10060.00 2   0.0 -31.9     20303400   0   1650       924750
    19  0 1  94.92  9922.00 2   0.0 -31.3     21376850   0   1650      1073450
    20  0 1  94.92  9985.00 2   0.0 -30.3     23226800   0   1450      1849950
    21  0 1  95.27 10093.00 2   0.0 -30.0     24115850   0   1400       889050
    22  0 1  95.27 10084.00 2   0.0 -30.0     25113550   0   1300       997700
    23  0 1  94.57 10096.00 2   0.0 -30.0     26077850   0   1250       964300
    24  0 1  94.57 10090.00 2   0.0 -30.3     27225850   0   1400      1148000
    25  0 1  95.27  9952.00 2   0.0 -30.6     28414350   0   1700      1188500
    26  0 1  95.27  9953.50 2   0.0 -31.3     29485100   0   1400      1070750
    27  0 1  95.62  9952.00 2   0.0 -31.9     30315500   0   1700       830400
    28  0 1  94.22 10096.00 2   0.0 -32.8     31282700   0   1550       967200
    29  0 1  94.92 10019.50 2   0.0 -35.0     33394400   0   1250      2111700
    30  0 1  94.57 10087.00 2   0.0 -36.3     34440950   0   1300      1046550
    31  0 1  94.92 10093.00 2   0.0 -37.5     35443450   0   1450      1002500
    32  0 1  94.22  9991.00 2   0.0 -39.1     36306100   0   1650       862650
    33  0 1  94.92 10075.00 2   0.0 -40.9     37376550   0   1650      1070450
    34  0 1  95.62  9997.00 2   0.0 -42.5     38262850   0   1550       886300
    35  0 1  94.22  9911.50 2   0.0 -44.4     39141250   0   1300       878400
    36  0 1  95.62  9989.50 2   0.0 -46.6     40257900   0   1550      1116650
    37  0 1  94.57  9913.00 2   0.0 -48.4     41059350   0   1450       801450
    38  0 1  94.92  9970.00 2   0.0 -53.1     43125200   0   1450      2065850
    39  0 1  95.27  9980.50 2   0.0 -55.3     43988650   0   1400       863450
    40  0 1  95.27  9970.00 2   0.0 -57.5     45154650   0   1500      1166000
    41  0 1  94.22 10055.50 2   0.0 -60.0     46259200   0   1450      1104550
    42  0 1  95.27  9938.50 2   0.0 -62.5     47358200   0   1550      1099000
    43  0 1  95.27 10057.00 2   0.0 -65.0     48245900   0   1400       887700
    44  0 1  95.27  9952.00 2   0.0 -67.5     49132600   0   1350       886700
