    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1 199.69  5298.75 1   0.0 -70.0            0   0   3950  42949673000
     1  0 1 199.69  5300.00 1   0.0 -67.5       462000   0   4000       462000
     2  0 1 199.69  5300.00 1   0.0 -65.0       923450   0   3950       461450
     3  0 1 199.69  5300.00 1   0.0 -62.5      1401300   0   4000       477850
     4  0 1 199.69  5398.75 1   0.0 -60.0      1880700   0   4000       479400
     5  0 1 199.69  5398.75 1   0.0 -55.3      2840150   0   4000       959450
     6  0 1 199.69  5400.00 1   0.0 -53.1      3320400   0   4000       480250
     7  0 1 199.69  5500.00 1   0.0 -50.6      3849350   0   4000       528950
     8  0 1 199.69  5498.75 1   0.0 -48.4      4378200   0   3950       528850
     9  0 1 199.69  5498.75 1   0.0 -46.6      4908100   0   4000       529900
    10  0 1 199.69  5498.75 1   0.0 -44.4      5440200   0   3950       532100
    11  0 1 199.69  5600.00 1   0.0 -42.5      5970100   0   4000       529900
    12  0 1 199.69  5598.75 1   0.0 -40.9      6511700   0   3950       541600
    13  0 1 199.69  5600.00 1   0.0 -39.1      7049250   0   4000       537550
    14  0 1 199.69  5700.00 1   0.0 -36.3      8129250   0   3950      1080000
    15  0 1 199.69  5698.75 1   0.0 -35.0      8668050   0   4000       538800
    16  0 1 199.69  5700.00 1   0.0 -33.8      9126350   0   4000       458300
    17  0 1 199.69  5698.75 1   0.0 -32.8      9584200   0   4000       457850
    18  0 1 199.69  5800.00 1   0.0 -31.9     10045000   0   3950       460800
    19  0 1 199.69  5800.00 1   0.0 -31.3     10506600   0   3950       461600
    20  0 1 199.69  5800.00 1   0.0 -30.6     10967600   0   4000       461000
    21  0 1 199.69  5800.00 1   0.0 -30.3     11447250   0   4000       479650
    22  0 1 199.69  5200.00 1   0.0 -30.0     11929350   0   3950       482100
    23  0 1 199.69  5198.75 1   0.0 -30.0     12886000   0   3950       956650
    24  0 1 199.69  5198.75 1   0.0 -30.3     13364900   0   3950       478900
    25  0 1 199.69  5300.00 1   0.0 -30.6     13893600   0   4000       528700
    26  0 1 199.69  5300.00 1   0.0 -31.3     14423650   0   4000       530050
    27  0 1 199.69  5300.00 1   0.0 -31.9     14954350   0   4000       530700
    28  0 1 199.69  5300.00 1   0.0 -32.8     15484050   0   3950       529700
    29  0 1 199.69  5398.75 1   0.0 -33.8     16012200   0   4000       528150
    30  0 1 199.69  5400.00 1   0.0 -35.0     16549800   0   4000       537600
    31  0 1 199.69  5400.00 1   0.0 -36.3     17090200   0   3950       540400
    32  0 1 199.69  5500.00 1   0.0 -39.1     18167150   0   3950      1076950
    33  0 1 199.69  5498.75 1   0.0 -40.9     18705800   0   4000       538650
    34  0 1 199.69  5500.00 1   0.0 -42.5     19164600   0   4000       458800
    35  0 1 199.69  5500.00 1   0.0 -44.4     19623100   0   3950       458500
    36  0 1 199.69  5600.00 1   0.0 -46.6     20082150   0   3950       459050
    37  0 1 199.69  5600.00 1   0.0 -48.4     20539650   0   3950       457500
    38  0 1 199.69  5598.75 1   0.0 -50.6     20997600   0   4000       457950
    39  0 1 199.69  5600.00 1   0.0 -53.1     21476200   0   3950       478600
    40  0 1 199.69  5698.75 1   0.0 -55.3     21954450   0   4000       478250
    41  0 1 199.69  5700.00 1   0.0 -60.0     22916300   0   4000       961850
    42  0 1 199.69  5700.00 1   0.0 -62.5     23394950   0   4000       478650
    43  0 1 199.69  5800.00 1   0.0 -65.0     23926800   0   4000       531850
    44  0 1 199.69  5798.75 1   0.0 -67.5     24458500   0   4000       531700
