    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  95.62 10015.00 2   0.0 -70.0            0   0   1250  42949673000
     1  0 1  95.62  9989.50 2   0.0 -67.5       999850   0   1050       999850
     2  0 1  94.57 10048.00 2   0.0 -65.0      1999450   0   1200       999600
     3  0 1  94.92  9974.50 2   0.0 -62.5      2999350   0   1250       999900
     4  0 1  94.22  9994.00 2   0.0 -60.0      3999450   0   1050      1000100
     5  0 1  94.92  9991.00 2   0.0 -57.5      4998950   0   1200       999500
     6  0 1  94.92  9949.00 2   0.0 -53.1      6999150   0   1250      2000200
     7  0 1  94.57  9992.50 2   0.0 -50.6      7999450   0   1050      1000300
     8  0 1  94.22 10000.00 2   0.0 -48.4      8999150   0    900       999700
     9  0 1  95.62  9982.00 2   0.0 -46.6      9999250   0   1100      1000100
    10  0 1  94.57  9965.50 2   0.0 -44.4     10999500   0   1150      1000250
    11  0 1  95.27 10012.00 2   0.0 -42.5     11999350   0   1050       999850
    12  0 1  94.92  9991.00 2   0.0 -40.9     12999750   0   1000      1000400
    13  0 1  94.92  9946.00 2   0.0 -39.1     13999950   0   1150      1000200
    14  0 1  95.27  9967.00 2   0.0 -37.5     14999500   0    850       999550
    15  0 1  95.62 10040.50 2   0.0 -35.0     17000150   0   1200      2000650
    16  0 1  95.62  9997.00 2   0.0 -33.8     17999650   0   1200       999500
    17  0 1  95.27  9958.00 2   0.0 -32.8     18999400   0    850       999750
    18  0 1  95.27 10028.50 2   0.0 -31.9     19999500   0   1250      1000100
    19  0 1  94.22 10054.00 2   0.0 -31.3     20999100   0    850       999600
    20  0 1  94.57  9989.50 2   0.0 -30.6     21998800   0    950       999700
    21  0 1  94.57  9973.00 2   0.0 -30.3     22998450   0   1000       999650
    22  0 1  94.22 10025.50 2   0.0 -30.0     23998650   0   1200      1000200
    23  0 1  94.92 10054.00 2   0.0 -30.0     24998300   0   1050       999650
    24  0 1  94.92 10030.00 2   0.0 -30.3     26997650   0   1200      1999350
    25  0 1  95.27 10042.00 2   0.0 -30.6     27998100   0   1050      1000450
    26  0 1  95.62  9958.00 2   0.0 -31.3     28998100   0   1200      1000000
    27  0 1  94.22  9994.00 2   0.0 -31.9     29998250   0   1150      1000150
    28  0 1  94.22  9961.00 2   0.0 -32.8     30998350   0   1000      1000100
    29  0 1  94.22  9955.00 2   0.0 -33.8     31998100   0    900       999750
    30  0 1  94.57  9970.00 2   0.0 -35.0     32997800   0    850       999700
    31  0 1  94.57 10000.00 2   0.0 -36.3     33997950   0    900      1000150
    32  0 1  94.22 10046.50 2   0.0 -37.5     34997700   0   1250       999750
    33  0 1  95.62 10051.00 2   0.0 -40.9     36998150   0   1200      2000450
    34  0 1  94.92 10051.00 2   0.0 -42.5     37997850   0   1200       999700
    35  0 1  95.27  9943.00 2   0.0 -44.4     38997400   0   1000       999550
    36  0 1  94.92 10039.00 2   0.0 -46.6     39997500   0   1150      1000100
    37  0 1  94.22 10048.00 2   0.0 -48.4     40997800   0   1150      1000300
    38  0 1  95.27  9997.00 2   0.0 -50.6     41997650   0   1200       999850
    39  0 1  94.92 10027.00 2   0.0 -53.1     42997300   0   1300       999650
    40  0 1  94.92  9988.00 2   0.0 -55.3     43997600   0    900      1000300
    41  0 1  95.27 10054.00 2   0.0 -57.5     44997150   0   1100       999550
    42  0 1  95.62 10051.00 2   0.0 -62.5     46997000   0    900      1999850
    43  0 1  94.22  9979.00 2   0.0 -65.0     47996900   0    950       999900
    44  0 1  94.57 10024.00 2   0.0 -67.5     48996650   0   1000       999750
