    NO  S V  AOA    FREQ    B  FMOP  AMP      TOA      PMOP  PW         dTOA  
------ -- - ------ -------- - ----- ----- ------------ --- ------ ------------
     0  0 1  94.57 10007.50 2   0.0 -70.0            0   0   1050  42949673000
     1  0 1  93.87 10009.00 2   0.0 -67.5       999500   0   1250       999500
     2  0 1  95.27 10007.50 2   0.0 -65.0      1989300   0   1250       989800
     3  0 1  94.92 10009.00 2   0.0 -62.5      2969550   0   1450       980250
     4  0 1  95.62 10009.00 2   0.0 -60.0      3939650   0   1150       970100
     5  0 1  95.62 10009.00 2   0.0 -55.3      5848850   0   1100      1909200
     6  0 1  93.52 10007.50 2   0.0 -53.1      6788700   0   1100       939850
     7  0 1  93.87 10007.50 2   0.0 -50.6      7718400   0   1100       929700
     8  0 1  95.98 10009.00 2   0.0 -48.4      8718600   0   1350      1000200
     9  0 1  93.52 10007.50 2   0.0 -46.6      9708850   0   1200       990250
    10  0 1  94.22 10009.00 2   0.0 -44.4     10688750   0   1450       979900
    11  0 1  95.98 10009.00 2   0.0 -42.5     11658700   0   1100       969950
    12  0 1  95.62 10007.50 2   0.0 -40.9     12619100   0   1350       960400
    13  0 1  94.92 10009.00 2   0.0 -39.1     13568650   0   1450       949550
    14  0 1  95.62 10009.00 2   0.0 -36.3     15439000   0   1300      1870350
    15  0 1  95.27 10007.50 2   0.0 -35.0     16439200   0   1500      1000200
    16  0 1  94.92 10007.50 2   0.0 -33.8     17428850   0   1200       989650
    17  0 1  93.87 10007.50 2   0.0 -32.8     18408800   0   1500       979950
    18  0 1  93.87 10009.00 2   0.0 -31.9     19379200   0   1050       970400
    19  0 1  95.98 10009.00 2   0.0 -31.3     20338750   0   1300       959550
    20  0 1  95.98 10007.50 2   0.0 -30.6     21288850   0   1300       950100
    21  0 1  93.52 10009.00 2   0.0 -30.3     22229250   0   1400       940400
    22  0 1  93.87 10009.00 2   0.0 -30.0     23159550   0   1400       930300
    23  0 1  93.52 10009.00 2   0.0 -30.0     25149650   0   1400      1990100
    24  0 1  94.22 10009.00 2   0.0 -30.3     26129600   0   1050       979950
    25  0 1  95.98 10007.50 2   0.0 -30.6     27099250   0   1200       969650
    26  0 1  94.57 10009.00 2   0.0 -31.3     28059350   0   1350       960100
    27  0 1  95.62 10007.50 2   0.0 -31.9     29009350   0   1150       950000
    28  0 1  93.52 10009.00 2   0.0 -32.8     29949350   0   1400       940000
    29  0 1  94.22 10009.00 2   0.0 -33.8     30879150   0   1050       929800
    30  0 1  95.98 10009.00 2   0.0 -35.0     31879150   0   1350      1000000
    31  0 1  94.92 10007.50 2   0.0 -36.3     32869400   0   1350       990250
    32  0 1  95.62 10009.00 2   0.0 -39.1     34819550   0   1450      1950150
    33  0 1  94.22 10009.00 2   0.0 -40.9     35779900   0   1050       960350
    34  0 1  93.87 10009.00 2   0.0 -42.5     36729450   0   1050       949550
    35  0 1  95.27 10009.00 2   0.0 -44.4     37669800   0   1100       940350
    36  0 1  94.22 10007.50 2   0.0 -46.6     38599450   0   1050       929650
    37  0 1  94.57 10009.00 2   0.0 -48.4     39599550   0   1300      1000100
    38  0 1  93.52 10009.00 2   0.0 -50.6     40589250   0   1300       989700
    39  0 1  95.98 10009.00 2   0.0 -53.1     41569550   0   1250       980300
    40  0 1  93.52 10009.00 2   0.0 -55.3     42539300   0   1100       969750
    41  0 1  93.87 10009.00 2   0.0 -60.0     44449850   0   1100      1910550
    42  0 1  93.52 10009.00 2   0.0 -62.5     45390250   0   1150       940400
    43  0 1  93.52 10007.50 2   0.0 -65.0     46320200   0   1450       929950
    44  0 1  95.98 10007.50 2   0.0 -67.5     47320050   0   1350       999850
